Siruta,Localitate,Media
179132,Municipiul Bucuresti,0.7748850000000002
95060,Municipiul Iasi,0.7460085714285715
54975,Municipiul Cluj-Napoca,0.7419014285714285
40198,Municipiul Brasov,0.740895
26564,Municipiul Oradea,0.7347021428571427
69900,Municipiul Craiova,0.7297585714285715
60419,Municipiul Constanta,0.725235
155243,Municipiul Timisoara,0.7171199999999999
130534,Municipiul Ploiesti,0.7140578571428572
106318,Municipiul Baia Mare,0.7055285714285714
44818,Municipiul Buzau,0.7042428571428571
143450,Municipiul Sibiu,0.7020571428571428
114319,Municipiul Targu Mures,0.6989814285714286
120726,Municipiul Piatra-Neamt,0.6968064285714286
9262,Municipiul Arad,0.6964678571428571
146263,Municipiul Suceava,0.6949414285714287
75098,Municipiul Galati,0.6935357142857143
42682,Municipiul Braila,0.6856835714285712
1017,Municipiul Alba Iulia,0.6811292857142857
100521,Municipiul Giurgiu,0.6726607142857144
57706,Floresti,0.6710407142857143
65342,Municipiul Targoviste,0.6702385714285714
179533,Oras Popesti Leordeni,0.668457142857143
179515,Oras Pantelimon,0.6681378571428572
167473,Municipiul Ramnicu Valcea,0.6678607142857143
139704,Municipiul Zalau,0.6676957142857144
136483,Municipiul Satu Mare,0.6661050000000001
50790,Municipiul Resita,0.6630707142857143
20297,Municipiul Bacau,0.6624914285714286
63394,Municipiul Sfantu Gheorghe,0.6618735714285714
83320,Municipiul Miercurea Ciuc,0.6613671428571429
179221,Oras Bragadiru,0.6592707142857143
13169,Municipiul Pitesti,0.6584942857142858
55008,Municipiul Dej,0.6503157142857141
83133,Municipiul Odorheiu Secuiesc,0.6487042857142857
40278,Municipiul Fagaras,0.6468764285714286
35731,Municipiul Botosani,0.6408021428571429
179551,Oras Voluntari,0.6394071428571427
159614,Municipiul Tulcea,0.6385342857142857
109773,Municipiul Drobeta-Turnu Severin,0.6383078571428571
92658,Municipiul Slobozia,0.6377592857142858
55259,Municipiul Turda,0.6336421428571429
32394,Municipiul Bistrita,0.6323571428571427
20563,Municipiul Onesti,0.6310257142857144
100576,Oras Buftea,0.6294557142857143
51010,Municipiul Caransebes,0.6274749999999999
83561,Municipiul Gheorgheni,0.6273821428571429
92569,Municipiul Calarasi,0.6244057142857142
40438,Municipiul Sacele,0.6242807142857142
13490,Municipiul Campulung,0.6239042857142856
179481,Oras Otopeni,0.6170007142857142
151790,Municipiul Alexandria,0.6167835714285713
60687,Oras Ovidiu,0.6161707142857142
155350,Municipiul Lugoj,0.6158899999999999
86810,Municipiul Hunedoara,0.612622857142857
174744,Municipiul Focsani,0.610525
75203,Municipiul Tecuci,0.610095
55838,Baciu,0.6084035714285713
125347,Municipiul Slatina,0.6043035714285715
60847,Municipiul Medgidia,0.6042471428571429
120860,Municipiul Roman,0.6039135714285715
179285,Oras Chitila,0.60382
155261,Dumbravita,0.6032521428571428
114809,Municipiul Reghin,0.6001364285714287
9397,Vladimirescu,0.6001185714285714
146628,Municipiul Radauti,0.5979528571428572
161945,Municipiul Vaslui,0.5975400000000001
40367,Oras Rasnov,0.5964571428571429
131256,Municipiul Campina,0.5964414285714286
157834,Mosnita Noua,0.59622
100610,Municipiul Oltenita,0.5934928571428572
26804,Municipiul Beius,0.592977142857143
121055,Oras Targu Neamt,0.5926671428571428
155314,Giroc,0.5923471428571428
146539,Municipiul Falticeni,0.5905435714285714
1213,Municipiul Aiud,0.589642857142857
114925,Municipiul Tarnaveni,0.5874242857142857
143557,Selimbar,0.5824064285714287
1874,Municipiul Sebes,0.5808642857142858
95391,Municipiul Pascani,0.5804492857142858
60507,Oras Navodari,0.579745
136526,Municipiul Carei,0.5788964285714285
100969,Balotesti,0.5776814285714286
55446,Oras Huedin,0.5760628571428571
20876,Municipiul Moinesti,0.5754271428571428
13392,Oras Stefanesti,0.5751114285714286
86687,Municipiul Deva,0.5747785714285714
146502,Municipiul Campulung Moldovenesc,0.5742114285714285
100834,Afumati,0.5721507142857142
102160,Corbeanca,0.5712764285714286
26975,Municipiul Salonta,0.5710707142857144
146432,Scheia,0.570425
167981,Municipiul Dragasani,0.5698964285714286
146584,Oras Gura Humorului,0.5668671428571429
13622,Municipiul Curtea De Arges,0.5667564285714286
130981,Oras Baicoi,0.5638957142857143
179383,Jilava,0.5625864285714286
151870,Municipiul Rosiori De Vede,0.5618721428571429
95293,Tomesti,0.5601021428571429
124938,Alexandru Cel Bun,0.5593078571428571
106746,Oras Borsa,0.5592607142857143
114710,Oras Ludus,0.559142857142857
114417,Sangeorgiu De Mures,0.5589685714285714
146744,Municipiul Vatra Dornei,0.5573592857142856
158564,Sacalaz,0.5568192857142856
161794,Municipiul Barlad,0.5568000000000001
100353,Valea Lupului,0.5542942857142856
57582,Feleacu,0.5542392857142857
83525,Oras Cristuru Secuiesc,0.5525878571428572
51207,Oras Otelu Rosu,0.5518928571428572
57902,Gilau,0.548057857142857
44845,Municipiul Ramnicu Sarat,0.5479778571428572
55687,Apahida,0.5469585714285714
87638,Municipiul Orastie,0.5448728571428572
55357,Municipiul Campia Turzii,0.5440107142857141
114514,Municipiul Sighisoara,0.5431992857142857
145765,Sura Mare,0.5425764285714284
125472,Municipiul Caracal,0.5425057142857143
47373,Maracineni,0.540775
106559,Municipiul Sighetu Marmatiei,0.5387042857142856
87077,Oras Petrila,0.5377542857142857
179310,Dobroesti,0.5376114285714285
158779,Sag,0.5372464285714286
61620,Cumpana,0.5344271428571428
60455,Oras Eforie,0.5336685714285714
95088,Barnova,0.5333742857142856
75150,Vanatori,0.5329164285714286
63125,Valu Lui Traian,0.5325242857142858
108963,Oras Seini,0.5325
95159,Holboca,0.5324442857142857
158699,Sanmihaiu Roman,0.5319728571428571
179347,Glina,0.5310478571428572
40492,Oras Zarnesti,0.53086
77812,Municipiul Targu Jiu,0.5303828571428572
60570,Agigea,0.5298807142857143
87576,Oras Hateg,0.5294385714285714
102213,Cornetu,0.5294357142857143
32544,Oras Nasaud,0.5290271428571428
109176,Oras Somcuta Mare,0.5290078571428571
139884,Oras Simleu Silvaniei,0.5282064285714286
26699,Oras Alesd,0.5278464285714285
143735,Oras Cisnadie,0.5276
144054,Oras Avrig,0.5266885714285714
87175,Municipiul Vulcan,0.5260242857142857
114453,Santana De Mures,0.5250585714285716
105570,Tunari,0.5246971428571429
179249,Chiajna,0.5243707142857142
102543,1 Decembrie,0.5235107142857143
11584,Oras Pecica,0.5230957142857143
130785,Bucov,0.5226621428571429
138431,Paulesti,0.5224257142857143
36006,Municipiul Dorohoi,0.5219699999999999
31789,Tinca,0.5198957142857142
20821,Oras Comanesti,0.5193021428571428
42003,Tarlungeni,0.5186507142857144
32161,Paleu,0.5171278571428571
20466,Margineni,0.5167614285714285
130678,Blejoi,0.5163371428571428
40394,Oras Rupea,0.5161392857142857
20359,Letea Veche,0.5161178571428572
131336,Oras Comarnic,0.5152592857142857
74859,Carcea,0.5149271428571428
9690,Oras Sebis,0.5146964285714286
92701,Municipiul Fetesti,0.5143914285714285
50969,Oras Bocsa,0.5143585714285714
131540,Oras Sinaia,0.5142471428571428
40241,Municipiul Codlea,0.5131535714285714
63526,Oras Covasna,0.5122914285714285
63152,Lumina,0.5121764285714285
9574,Oras Lipova,0.51198
9627,Oras Nadlac,0.51183
41088,Harman,0.5109628571428572
101145,Berceni,0.5106571428571428
138280,Odoreu,0.5103778571428571
60534,Oras Techirghiol,0.5092807142857143
78141,Municipiul Motru,0.5087464285714286
106684,Oras Baia Sprie,0.5085757142857142
30274,Osorhei,0.5077999999999999
30149,Nojorid,0.5076064285714285
73068,Malu Mare,0.5071714285714285
23715,Nicolae Balcescu,0.507072142857143
13365,Maracineni,0.5069914285714285
168041,Oras Horezu,0.5068864285714286
174156,Vladesti,0.5068214285714286
63580,Oras Intorsura Buzaului,0.5063421428571429
102605,Dragomiresti-Vale,0.5059864285714285
55384,Municipiul Gherla,0.505222142857143
114382,Sancraiu De Mures,0.5042835714285715
104243,Moara Vlasiei,0.5039714285714286
106979,Oras Viseu De Sus,0.5030021428571428
139811,Oras Jibou,0.5026428571428572
41033,Halchiu,0.5014878571428572
119894,Oras Ungheni,0.501305
136642,Oras Tasnad,0.4994549999999999
146655,Oras Siret,0.49918499999999993
130552,Barcanesti,0.49902571428571424
87291,Municipiul Brad,0.4987664285714285
105160,Snagov,0.49822714285714287
9538,Oras Ineu,0.49817
20778,Oras Buhusi,0.4981321428571429
139394,Viile Satu Mare,0.4975135714285714
101902,Ciolpani,0.4969221428571428
125542,Oras Corabia,0.4968857142857143
102570,Domnesti,0.49553642857142854
168880,Bujoreni,0.49532
70094,Isalnita,0.4952364285714287
135949,Valea Calugareasca,0.49521357142857136
70414,Oras Filiasi,0.4948228571428572
27436,Biharia,0.49463428571428575
100683,Municipiul Urziceni,0.4940414285714286
83749,Oras Vlahita,0.4939021428571429
26582,Sanmartin,0.4928192857142856
22166,Oras Darmanesti,0.4919564285714285
101957,Ciorogarla,0.4915785714285715
51118,Oras Oravita,0.49149142857142863
120771,Dumbrava Rosie,0.49082785714285715
158314,Oras Recas,0.49051142857142865
106363,Grosi,0.48981571428571435
125418,Oras Bals,0.48909499999999995
83197,Feliceni,0.4889028571428571
95239,Rediu,0.4886578571428571
41925,Sanpetru,0.48790142857142865
87665,Oras Simeria,0.48778071428571435
70316,Municipiul Bailesti,0.48768071428571436
96254,Ciurea,0.48766642857142856
26653,Santandrei,0.4876214285714286
149290,Marginea,0.48759642857142854
47453,Merei,0.4875028571428572
32483,Oras Beclean,0.4874778571428572
161829,Municipiul Husi,0.4871464285714286
132315,Banesti,0.4862557142857143
143619,Municipiul Medias,0.4861757142857143
118281,Oras Miercurea Nirajului,0.48570142857142856
84558,Joseni,0.48489928571428564
75114,Sendreni,0.4834664285714286
65431,Razvad,0.48314214285714285
178607,Vanatori,0.4826471428571429
32599,Oras Sangeorz-Bai,0.4822607142857143
41667,Prejmer,0.48165285714285716
117925,Livezeni,0.48061142857142863
155289,Ghiroda,0.4774278571428571
