Judet,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ab,3,5,3,4,2,2,1,2,1,1,2,3,1,2
ag,1,1,1,2,1,0,0,0,0,0,0,0,0,0
ar,1,1,1,0,0,0,0,0,0,0,0,0,1,1
b,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bc,2,2,1,0,2,2,2,1,0,0,0,0,1,0
bh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bn,1,1,0,1,1,1,1,1,1,0,0,1,0,0
br,4,2,1,2,2,2,1,1,1,1,1,1,1,0
bt,4,8,8,6,7,6,7,4,4,3,2,2,2,1
bv,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bz,2,2,3,3,3,3,4,2,3,2,2,1,1,2
cj,0,0,0,1,1,0,0,0,0,0,0,0,0,0
cl,0,0,1,0,0,1,0,0,0,0,0,0,0,0
cs,4,5,4,2,2,1,1,2,2,1,2,1,3,2
ct,1,1,2,0,1,1,1,1,0,0,0,1,1,1
cv,1,2,0,0,0,0,0,0,0,0,0,0,0,0
db,0,1,1,1,0,0,0,0,0,0,0,0,0,0
dj,7,4,4,3,5,4,4,2,3,2,2,0,1,0
gj,0,0,0,0,0,0,1,0,0,0,0,0,0,1
gl,3,4,4,2,2,1,0,0,0,0,0,0,0,0
gr,2,1,0,0,0,0,0,0,0,0,0,0,0,0
hd,5,6,6,3,4,4,3,4,3,1,2,3,3,2
hr,0,1,0,0,1,1,1,1,0,0,0,0,1,0
if,0,0,0,0,0,0,0,0,0,0,0,0,0,0
il,3,3,3,3,4,3,2,2,1,1,0,0,0,0
is,4,4,5,5,3,4,4,4,4,6,6,3,2,1
mh,13,12,7,6,6,6,6,7,6,7,5,4,2,3
mm,1,1,1,2,1,1,2,0,0,1,0,0,0,0
ms,2,2,4,4,4,3,2,3,3,2,4,2,1,1
nt,1,2,3,4,4,3,4,4,3,4,1,1,1,1
ot,7,6,8,6,4,6,3,2,3,1,1,0,1,1
ph,1,2,1,1,3,3,3,2,1,0,0,0,0,0
sb,1,1,2,2,3,3,2,0,1,1,2,0,0,0
sj,2,2,3,1,1,0,1,1,2,2,1,0,0,0
sm,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sv,1,1,1,0,0,0,1,0,0,0,0,0,0,0
tl,3,2,2,2,3,3,3,3,2,2,2,1,3,1
tm,1,0,1,1,1,1,0,0,0,0,0,0,0,0
tr,4,4,2,2,4,3,3,3,2,2,2,0,1,0
vl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vn,2,3,0,0,1,1,0,0,0,0,1,0,0,0
vs,8,10,8,7,7,7,4,6,3,4,3,1,1,0
