Siruta,Cluster
1017,1
1071,1
1151,2
1213,1
1348,1
1455,1
1696,1
1794,1
1874,1
1936,1
2130,2
2309,2
2381,1
2577,2
2915,2
2988,2
3039,2
3397,2
3459,2
3761,2
3805,2
3841,2
3958,2
4008,2
4106,2
4142,2
4188,2
4240,2
4268,2
4302,2
4366,2
4482,2
4525,2
4703,2
4767,2
4927,1
4981,2
5103,2
5167,2
5210,2
5309,2
5336,1
5577,2
5700,2
5755,2
5826,2
6048,2
6119,2
6164,2
6217,1
6271,2
6397,2
6468,2
6547,2
6592,2
6627,2
6761,2
6930,2
6976,2
7044,2
7099,2
7197,2
7348,2
7384,2
7446,2
7767,2
7810,2
7865,2
7945,2
8014,2
8096,1
8158,1
8229,2
8354,2
8425,2
8826,1
9019,2
9026,2
9262,1
9280,1
9333,1
9360,1
9397,1
9459,1
9495,2
9538,1
9574,1
9627,1
9654,1
9690,1
9743,2
9798,2
9832,2
9887,2
9930,2
10006,2
10051,2
10104,2
10195,2
10239,2
10293,1
10346,2
10373,2
10417,2
10453,2
10514,2
10532,2
10649,2
10701,2
10765,2
10827,2
10872,1
10916,2
10943,1
11058,2
11174,2
11236,2
11307,2
11352,1
11398,1
11423,2
11478,2
11502,2
11539,1
11584,1
11637,2
11664,2
11735,2
11762,2
11842,2
11940,2
11995,2
12037,2
12055,2
12091,2
12126,2
12144,1
12206,2
12224,2
12242,2
12288,2
12340,1
12368,1
12402,2
12457,2
12509,1
12572,2
12643,2
12689,2
12778,2
12812,2
12849,2
12876,2
12912,2
12920,2
12938,1
13169,1
13187,1
13276,2
13301,2
13365,1
13392,1
13490,1
13524,1
13622,1
13668,1
13757,1
13819,1
13891,2
13935,1
13999,2
14049,2
14085,2
14165,2
14272,2
14352,2
14405,2
14450,2
14584,2
14673,2
14726,2
14753,2
14851,1
14922,2
14940,2
15064,2
15108,1
15233,1
15313,2
15402,2
15448,2
15493,2
15554,2
15652,2
15741,2
15830,2
15901,2
15983,2
16132,2
16285,2
16329,2
16365,2
16427,2
16454,1
16472,2
16506,1
16551,2
16613,2
16659,2
16739,2
16757,1
16908,2
16944,2
17049,2
17101,1
17209,2
17254,2
17334,2
17398,2
17423,2
17496,1
17575,2
17619,2
17726,2
17771,2
17824,2
17851,2
17913,2
17968,2
18028,2
18162,2
18242,2
18331,2
18411,2
18475,2
18527,1
18554,2
18581,2
18670,2
18741,2
18778,1
18858,2
18938,2
19007,2
19114,2
19141,2
19212,2
19249,2
19338,2
19392,2
19560,2
19631,2
19695,1
19793,2
19999,2
20048,2
20055,2
20063,2
20297,1
20313,1
20359,1
20411,1
20466,1
20563,1
20607,2
20670,2
20778,1
20821,1
20876,1
20910,2
20965,1
21007,2
21098,2
21123,2
21196,2
21249,2
21338,2
21418,2
21454,2
21506,2
21560,2
21597,2
21668,2
21720,1
21757,2
21855,2
21891,2
21971,2
22059,2
22111,2
22166,1
22237,2
22380,2
22460,2
22488,2
22576,1
22665,2
22718,2
22781,2
22834,2
22898,2
22941,2
23047,2
23127,2
23207,2
23289,2
23350,2
23387,2
23449,2
23494,2
23644,2
23715,1
23797,2
23868,2
23948,2
23975,2
24034,2
24089,2
24187,2
24276,2
24338,2
24427,2
24524,2
24631,2
24711,1
24766,1
24837,2
24999,2
25068,1
25148,2
25228,1
25291,2
25362,2
25488,2
25521,2
25629,2
25692,2
25745,2
25825,2
25861,1
25932,2
26029,1
26083,2
26118,2
26289,2
26320,2
26338,2
26346,2
26353,2
26361,2
26379,2
26564,1
26582,1
26653,1
26699,1
26742,2
26804,1
26840,1
26877,1
26920,2
26975,1
27007,1
27070,2
27169,1
27212,1
27285,2
27329,2
27383,1
27436,1
27506,2
27560,2
27631,1
27686,2
27757,2
27846,1
27908,2
27935,1
27971,1
28077,2
28139,2
28193,2
28246,2
28335,2
28415,1
28497,2
28530,2
28610,2
28665,2
28709,1
28763,2
28816,2
28889,2
28941,2
29001,2
29038,2
29092,1
29154,1
29243,2
29341,2
29403,1
29467,1
29519,1
29573,1
29662,2
29724,1
29760,2
29813,2
29902,1
29948,1
30014,2
30069,1
