Siruta,Localitate,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1151,Oras Abrud,0.35267,0.42373,0.38825,0.3758,0.38027,0.37134,0.361,0.35039,0.35722,0.35895,0.35299,0.34369,0.33086,0.33038
1348,Municipiul Blaj,0.47315,0.52496,0.50509,0.48633,0.49722,0.49742,0.46477,0.43227,0.42936,0.3859,0.35862,0.36965,0.37592,0.37121
1696,Oras Cugir,0.43457,0.41838,0.4127,0.40211,0.41187,0.40275,0.3953,0.3852,0.3777,0.37564,0.36881,0.37169,0.36409,0.37146
1874,Municipiul Sebes,0.59709,0.58182,0.5987,0.59047,0.58852,0.57553,0.57259,0.56832,0.60038,0.56693,0.57276,0.5701,0.57213,0.57676
3039,Bistra,0.34979,0.3535,0.36642,0.35011,0.35005,0.37731,0.34973,0.35724,0.38585,0.41039,0.42619,0.42895,0.40654,0.06391
3397,Blandiana,0.2406,0.24268,0.13994,0.16815,0.19027,0.19834,0.12407,0.12404,0.16195,0.08761,0.0,0.0,0.0,0.0
3459,Bucium,0.25596,0.23725,0.29151,0.2712,0.25277,0.24503,0.27417,0.24052,0.17999,0.25756,0.26174,0.27117,0.26831,0.25397
3841,Ceru-Bacainti,0.27042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3312,0.0
4525,Garda De Sus,0.27831,0.29502,0.26075,0.24563,0.22982,0.27052,0.26882,0.23044,0.24802,0.20641,0.24027,0.2375,0.24414,0.23985
4767,Horea,0.24387,0.26976,0.36289,0.35323,0.39087,0.38992,0.38228,0.35456,0.36982,0.378,0.39124,0.35335,0.33469,0.31655
4981,Intregalde,0.12483,0.0,0.0,0.0,0.0,0.0,0.0587,0.0,0.07018,0.08761,0.09324,0.0,0.10486,0.03485
5700,Mihalt,0.34349,0.33631,0.33281,0.31354,0.33748,0.29926,0.29235,0.2464,0.31156,0.28357,0.30946,0.3558,0.31795,0.28284
6397,Ponor,0.0,0.0,0.18904,0.07798,0.13524,0.12407,0.09917,0.14886,0.07018,0.0702,0.07022,0.07796,0.08761,0.07018
6592,Rametea,0.17445,0.19556,0.23657,0.23167,0.20961,0.25628,0.26236,0.27176,0.22755,0.2302,0.26014,0.22267,0.20712,0.19873
6930,Rosia De Secas,0.18406,0.19333,0.15762,0.26427,0.26141,0.19897,0.23728,0.23439,0.24477,0.21043,0.23367,0.16351,0.148,0.18956
7767,Stremt,0.27693,0.29924,0.23906,0.29123,0.32305,0.37437,0.35063,0.40241,0.35794,0.30972,0.29098,0.28415,0.28411,0.29449
8229,Vadu Motilor,0.32264,0.32065,0.35149,0.35263,0.34283,0.33691,0.34912,0.30946,0.28987,0.31353,0.31078,0.29541,0.29375,0.31488
9360,Sofronea,0.3977,0.38088,0.38337,0.39001,0.41782,0.41776,0.42273,0.45235,0.43993,0.43194,0.42121,0.40212,0.40927,0.39409
9574,Oras Lipova,0.51003,0.52474,0.55154,0.53647,0.53372,0.51544,0.51527,0.50273,0.51264,0.50714,0.49522,0.50075,0.48468,0.47735
9690,Oras Sebis,0.52237,0.5304,0.52485,0.5334,0.52896,0.53002,0.51975,0.5217,0.49668,0.50439,0.50446,0.51647,0.50372,0.46858
10195,Bocsig,0.32285,0.3173,0.3664,0.35182,0.35005,0.36868,0.38421,0.31336,0.30108,0.23371,0.25194,0.19973,0.23016,0.21406
10417,Chisindia,0.31453,0.29802,0.30122,0.27624,0.29513,0.30154,0.28772,0.24216,0.27395,0.34206,0.32923,0.32316,0.26989,0.29581
10649,Dezna,0.24269,0.24862,0.30356,0.33411,0.29969,0.28096,0.19518,0.26624,0.29933,0.27905,0.24014,0.27926,0.23358,0.20802
10701,Dieci,0.28706,0.30343,0.30765,0.31491,0.27848,0.29084,0.22468,0.25693,0.30842,0.23998,0.20753,0.26631,0.20681,0.24254
10827,Felnac,0.39824,0.40224,0.41317,0.38865,0.38267,0.34638,0.33912,0.31928,0.36578,0.36532,0.35508,0.35527,0.36541,0.36119
11174,Halmagel,0.23111,0.23796,0.29131,0.29522,0.20527,0.28273,0.28184,0.26473,0.2637,0.26282,0.24538,0.25367,0.22381,0.2025
11236,Hasmas,0.22041,0.16975,0.24377,0.22522,0.23627,0.23643,0.24826,0.24661,0.18445,0.13517,0.25815,0.2435,0.23811,0.18931
11307,Ignesti,0.0,0.0,0.14894,0.14165,0.11225,0.17773,0.11739,0.10305,0.09915,0.09378,0.11837,0.11461,0.0,0.0
11352,Iratosu,0.36133,0.37126,0.41897,0.40123,0.41638,0.39996,0.38614,0.38066,0.38751,0.38204,0.38736,0.39375,0.35952,0.34631
11502,Olari,0.19026,0.20201,0.25145,0.25814,0.21311,0.25225,0.24319,0.23814,0.2658,0.19865,0.23488,0.2183,0.21636,0.21806
11995,Seleus,0.27534,0.27708,0.28502,0.2371,0.35399,0.36711,0.31473,0.24753,0.32698,0.35747,0.38382,0.34212,0.28855,0.26831
12037,Semlac,0.36368,0.34877,0.34794,0.37843,0.38494,0.36554,0.37218,0.36175,0.38292,0.37819,0.35927,0.34885,0.36489,0.356
