Siruta,Localitate,Div Medie,2021
1151,Oras Abrud,0.36268142857142854,0.33038
1348,Municipiul Blaj,0.4408478571428572,0.37121
1696,Oras Cugir,0.39230499999999996,0.37146
1874,Municipiul Sebes,0.5808642857142858,0.57676
3039,Bistra,0.35542714285714283,0.06391
3397,Blandiana,0.11983214285714285,0.0
3459,Bucium,0.25436785714285715,0.25397
3841,Ceru-Bacainti,0.042972857142857146,0.0
4525,Garda De Sus,0.24967857142857142,0.23985
4767,Horea,0.3493592857142857,0.31655
4981,Intregalde,0.04101928571428571,0.03485
5700,Mihalt,0.31163,0.28284
6397,Ponor,0.08719357142857143,0.07018
6592,Rametea,0.22747642857142855,0.19873
6930,Rosia De Secas,0.20866214285714288,0.18956
7767,Stremt,0.3127364285714286,0.29449
8229,Vadu Motilor,0.32171071428571424,0.31488
9360,Sofronea,0.4115128571428572,0.39409
9574,Oras Lipova,0.51198,0.47735
9690,Oras Sebis,0.5146964285714286,0.46858
10195,Bocsig,0.3003821428571429,0.21406
10417,Chisindia,0.2964757142857143,0.29581
10649,Dezna,0.2650307142857142,0.20802
10701,Dieci,0.2668264285714286,0.24254
10827,Felnac,0.36841428571428564,0.36119
11174,Halmagel,0.25300357142857144,0.2025
11236,Hasmas,0.21967214285714284,0.18931
11307,Ignesti,0.08763714285714286,0.0
11352,Iratosu,0.3851728571428571,0.34631
11502,Olari,0.2286142857142857,0.21806
11995,Seleus,0.3089392857142857,0.26831
12037,Semlac,0.3652392857142857,0.356
12402,Sistarovat,0.21385428571428572,0.16663
12876,Zimandu Nou,0.34474071428571434,0.27377
12920,Frumuseni,0.37689,0.33949
13365,Maracineni,0.5069914285714285,0.50641
13490,Municipiul Campulung,0.6239042857142856,0.62365
14165,Baiculesti,0.3527835714285715,0.3478
16285,Davidesti,0.29262214285714283,0.25954
16365,Darmanesti,0.22826642857142856,0.21364
17423,Moraresti,0.2684357142857143,0.26317
18242,Priboieni,0.31698785714285715,0.31105
18554,Salatrucu,0.2587499999999999,0.18458
18858,Stoenesti,0.33380714285714286,0.30011
19212,Teiu,0.2040071428571429,0.19763
19392,Uda,0.24217071428571432,0.24128
20048,Raca,0.1725407142857143,0.15236
20297,Municipiul Bacau,0.6624914285714286,0.61814
20313,Hemeius,0.4582792857142857,0.43335
20563,Municipiul Onesti,0.6310257142857144,0.59782
20778,Oras Buhusi,0.4981321428571429,0.47902
20821,Oras Comanesti,0.5193021428571428,0.51206
20910,Oras Slanic-Moldova,0.37548142857142863,0.35458
21454,Barsanesti,0.2728157142857143,0.26583
21506,Blagesti,0.2192214285714286,0.14416
21668,Buhoci,0.35029071428571423,0.18167
22111,Damienesti,0.14529714285714285,0.13341
24089,Parincea,0.17271071428571427,0.16763
24276,Pargaresti,0.2248164285714286,0.20835
24427,Plopana,0.25128142857142866,0.24033
25745,Tatarasti,0.09869928571428573,0.07218
25825,Targu Trotus,0.24221428571428572,0.24029
26083,Valea Seaca,0.29177357142857147,0.2651
26346,Gioseni,0.2504164285714286,0.24928
26353,Odobesti,0.19473071428571426,0.18071
26361,Prajesti,0.2459385714285714,0.1714
26804,Municipiul Beius,0.592977142857143,0.58231
26920,Oras Nucet,0.3281892857142857,0.30706
26975,Municipiul Salonta,0.5710707142857144,0.53959
27560,Borod,0.367915,0.34029
28335,Ceica,0.3487021428571428,0.31792
28497,Cherechiu,0.28867714285714285,0.25546
29902,Lugasu De Jos,0.44662428571428564,0.38582
30069,Magesti,0.3845992857142857,0.38334
30844,Rosia,0.33428,0.32501
31011,Salard,0.44274857142857144,0.41257
31510,Suncuius,0.33616071428571426,0.33369
31878,Tetchea,0.3189792857142858,0.30545
32153,Tamaseu,0.420705,0.40588
32187,Rosiori,0.37320714285714285,0.35153
32599,Oras Sangeorz-Bai,0.4822607142857143,0.48026
33275,Galatii Bistritei,0.2944678571428571,0.24854
33541,Livezile,0.39645428571428576,0.3775
33621,Maieru,0.32005785714285706,0.29719
33658,Matei,0.24196142857142858,0.22394
33765,Mariselu,0.27640000000000003,0.14702
35312,Urmenis,0.13992785714285713,0.09319
36756,Corni,0.19571285714285716,0.15235
37011,Dersca,0.31182928571428575,0.29691
37547,Havarna,0.3139914285714286,0.2618
37734,Hlipiceni,0.21786714285714284,0.1826
38633,Radauti-Prut,0.13401714285714286,0.1288
38811,Roma,0.19365357142857142,0.17904
39792,Vlasinesti,0.17934214285714287,0.15559
39942,Lozna,0.1159457142857143,0.05065
40035,Adaseni,0.05992357142857143,0.0
40198,Municipiul Brasov,0.740895,0.71978
40214,Oras Ghimbav,0.45942642857142857,0.42188
40278,Municipiul Fagaras,0.6468764285714286,0.63773
40303,Oras Predeal,0.4472778571428572,0.41802
40367,Oras Rasnov,0.5964571428571429,0.59361
40394,Oras Rupea,0.5161392857142857,0.50364
40544,Beclean,0.3592285714285714,0.34265
40633,Bran,0.46763714285714286,0.44419
40688,Budila,0.29711785714285716,0.26656
40820,Cincu,0.25157357142857145,0.21187
42156,Ungra,0.17613571428571428,0.13645
42456,Crizbav,0.3152521428571428,0.27781
42753,Oras Faurei,0.40110142857142844,0.39474
42913,Bordei Verde,0.2700314285714286,0.26888
43279,Gradistea,0.24033571428571426,0.2372
43331,Oras Ianca,0.3956971428571428,0.39372
43625,Mircea Voda,0.27587857142857136,0.26264
43732,Ramnicelu,0.12390571428571427,0.10829
44140,Sutesti,0.28543071428571426,0.27451
44989,Balaceanu,0.18108928571428576,0.17502
45245,Bisoca,0.26618714285714284,0.23558
45334,Blajani,0.25598857142857145,0.16122
45619,Breaza,0.30044142857142864,0.21677
45753,Calvini,0.24138357142857142,0.18009
46019,Cernatesti,0.3421207142857143,0.32146
47159,Largu,0.25088571428571427,0.24862
47818,Murgesti,0.04763642857142858,0.0
47854,Naeni,0.2580478571428571,0.20209
48165,Pardosi,0.03854357142857142,0.0
48487,Pietroasele,0.34002071428571423,0.33062
48922,Racoviteni,0.20003714285714283,0.19513
49019,Robeasca,0.12590214285714288,0.10785
49625,Stalpu,0.28175500000000003,0.22736
49643,Tisau,0.20348571428571427,0.18923
49849,Tintesti,0.24301999999999999,0.20431
50479,Ziduri,0.23962214285714287,0.23714
51010,Municipiul Caransebes,0.6274749999999999,0.62179
51207,Oras Otelu Rosu,0.5518928571428572,0.54162
51699,Buchin,0.10181785714285717,0.06138
51804,Carasova,0.30392214285714286,0.28783
52035,Ciudanovita,0.04455428571428571,0.0
52721,Domasnea,0.20006142857142858,0.16961
52785,Farliug,0.2926528571428571,0.24491
53069,Lapusnicel,0.1377728571428571,0.12607
53345,Naidas,0.1696757142857143,0.15176
53372,Obreja,0.31606928571428566,0.19879
53513,Pojejena,0.3307721428571429,0.31415
53700,Eftimie Murgu,0.2514728571428571,0.24954
53728,Rusca Montana,0.24565642857142858,0.20604
54485,Valiug,0.2991871428571429,0.22091
54573,Vrani,0.13236571428571428,0.0
54975,Municipiul Cluj-Napoca,0.7419014285714285,0.69881
55008,Municipiul Dej,0.6503157142857141,0.63966
55277,Mihai Viteazu,0.4177807142857143,0.38292
55623,Alunis,0.17033785714285712,0.16409
55918,Baisoara,0.33317642857142854,0.29736
57225,Ciurila,0.4508178571428571,0.44661
57314,Catcau,0.2284142857142857,0.22731
58142,Iclod,0.3327492857142857,0.30647
58259,Jucu,0.3079307142857143,0.20706
58721,Moldovenesti,0.33892428571428573,0.32686
59130,Recea-Cristur,0.23425714285714286,0.20072
59826,Taga,0.2634278571428571,0.22169
60598,23-Aug,0.41739571428571437,0.39944
60847,Municipiul Medgidia,0.6042471428571429,0.5987
60883,Adamclisi,0.31611857142857147,0.3093
61452,Comana,0.18964285714285717,0.16265
61675,Deleni,0.30271571428571425,0.29176
62137,Mereni,0.26486714285714286,0.23681
62360,Oras Murfatlar,0.44390571428571424,0.43537
62397,Oras Negru Voda,0.3446485714285714,0.32032
62440,Nicolae Balcescu,0.3925492857142857,0.39014
62486,Oltina,0.28725357142857144,0.27161
62823,Saraiu,0.2159542857142857,0.2039
63161,Dumbraveni,0.04612642857142857,0.0
63170,Vulturu,0.18103500000000003,0.13327
63189,Tortoman,0.2692871428571429,0.26863
63278,Horia,0.16452214285714287,0.09098
63286,Costinesti,0.3960585714285715,0.27103
63334,Fantanele,0.22587071428571429,0.2057
63447,Oras Baraolt,0.4479514285714286,0.43649
63526,Oras Covasna,0.5122914285714285,0.49723
63553,Comandau,0.21372785714285714,0.18426
64345,Ghidfalau,0.39267285714285716,0.3416
64504,Malnas,0.10902142857142857,0.09246
64773,Reci,0.279495,0.0898
64871,Turia,0.35137999999999997,0.34846
64906,Valea Crisului,0.40328071428571427,0.38198
64997,Varghis,0.19954071428571432,0.18678
65105,Mereni,0.2611392857142857,0.22473
65501,Ulmi,0.37624714285714284,0.36915
65681,Oras Gaesti,0.3223364285714285,0.269
65752,Petresti,0.30330928571428567,0.27652
65921,Oras Pucioasa,0.40090571428571437,0.37229
66697,Cojasca,0.23951571428571422,0.23114
66731,Comisani,0.26541857142857145,0.22997
66768,Contesti,0.2610257142857143,0.26039
67167,Crangurile,0.21268642857142853,0.19425
67256,Darmanesti,0.38429642857142854,0.30894
67292,Dobra,0.28186857142857147,0.27331
67327,Dragodana,0.35602214285714284,0.33894
67648,Gura Sutii,0.38180571428571425,0.3791
69170,Valea Mare,0.2999521428571429,0.29621
69900,Municipiul Craiova,0.7297585714285715,0.72221
71787,Cetate,0.2968085714285715,0.28707
71885,Cosoveni,0.27884428571428577,0.22075
72007,Oras Dabuleni,0.4030292857142857,0.37249
72098,Dobresti,0.18920928571428575,0.16988
73923,Robanesti,0.32835285714285717,0.32063
74028,Salcuta,0.20327714285714285,0.16667
74135,Seaca De Padure,0.1797142857142857,0.1355
74359,Terpezita,0.26198000000000005,0.24447
74923,Intorsura,0.21306571428571427,0.20943
75472,Oras Targu Bujor,0.40364428571428584,0.39463
75542,Balabanesti,0.12348714285714284,0.10447
75613,Balasesti,0.18530571428571432,0.14886
75668,Baleni,0.2295664285714286,0.21403
76111,Costache Negri,0.2874857142857143,0.25764
77313,Tudor Vladimirescu,0.23288,0.22953
77377,Tepu,0.268825,0.24985
77475,Valea Marului,0.1765314285714286,0.14976
77812,Municipiul Targu Jiu,0.5303828571428572,0.52357
78016,Dragutesti,0.4338335714285714,0.41738
78141,Municipiul Motru,0.5087464285714286,0.4839
78258,Oras Novaci,0.35444714285714285,0.33139
78542,Alimpesti,0.33574428571428566,0.31955
78711,Baia De Fier,0.39341857142857145,0.35052
78828,Barbatesti,0.16886500000000002,0.0
79308,Oras Bumbesti-Jiu,0.3603785714285715,0.34942
80766,Logresti,0.27720000000000006,0.22724
81656,Samarinesti,0.20485714285714285,0.14334
82314,Stoina,0.2673864285714285,0.24243
82779,Vagiulesti,0.2475042857142857,0.2409
83428,Oras Baile Tusnad,0.29921499999999995,0.29345
83491,Oras Borsec,0.11251571428571429,0.10573
83561,Municipiul Gheorgheni,0.6273821428571429,0.59783
83785,Atid,0.30737571428571425,0.28249
84344,Ditrau,0.4492192857142857,0.43832
85127,Mugeni,0.3984757142857143,0.39221
85243,Ocland,0.25534999999999997,0.24707
85412,Remetea,0.40374285714285724,0.36772
85582,Secuieni,0.28077285714285716,0.27991
85788,Sanmartin,0.3718357142857143,0.36544
86749,Carjiti,0.21820357142857144,0.19818
86936,Teliucu Inferior,0.39624999999999994,0.39239
87576,Oras Hateg,0.5294385714285714,0.52541
87638,Municipiul Orastie,0.5448728571428572,0.50002
88216,Batrana,0.229,0.10797
88788,Buces,0.16182214285714286,0.13403
90066,Lelese,0.03368142857142857,0.0
90119,Lunca Cernii De Jos,0.19256571428571428,0.15958
90538,Pui,0.3341935714285714,0.29411
90663,Rapoltu Mare,0.32117571428571423,0.24051
90725,Rachitova,0.2290021428571428,0.1996
91054,Sarmizegetusa,0.20793142857142852,0.20668
91535,Toplita,0.21943214285714285,0.21172
91937,Valisoara,0.15222428571428573,0.14205
92097,Vorta,0.15237785714285715,0.08483
92783,Albesti,0.2454078571428571,0.20353
93236,Cosambesti,0.30467714285714287,0.29903
93325,Dichiseni,0.18265571428571428,0.18159
93539,Dragos Voda,0.3032214285714286,0.29797
