Siruta,Localitate,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1017,Municipiul Alba Iulia,0.68835,0.68256,0.69068,0.68005,0.69105,0.6794,0.67947,0.68413,0.6693,0.66945,0.67122,0.67827,0.68474,0.68714
1071,Ciugud,0.41717,0.40792,0.4225,0.41939,0.41051,0.42315,0.43189,0.45149,0.48199,0.47492,0.40261,0.41116,0.43488,0.45948
1151,Oras Abrud,0.35267,0.42373,0.38825,0.3758,0.38027,0.37134,0.361,0.35039,0.35722,0.35895,0.35299,0.34369,0.33086,0.33038
1213,Municipiul Aiud,0.54531,0.55885,0.59457,0.58634,0.57833,0.60098,0.60055,0.5878,0.59164,0.59529,0.59948,0.59846,0.61335,0.60405
1348,Municipiul Blaj,0.47315,0.52496,0.50509,0.48633,0.49722,0.49742,0.46477,0.43227,0.42936,0.3859,0.35862,0.36965,0.37592,0.37121
1455,Oras Campeni,0.35855,0.43857,0.45201,0.4468,0.44064,0.42891,0.42546,0.43279,0.42698,0.42998,0.45377,0.47915,0.49479,0.5028
1696,Oras Cugir,0.43457,0.41838,0.4127,0.40211,0.41187,0.40275,0.3953,0.3852,0.3777,0.37564,0.36881,0.37169,0.36409,0.37146
1794,Oras Ocna Mures,0.39723,0.36957,0.46133,0.48641,0.49312,0.10393,0.44902,0.45638,0.4584,0.46498,0.47806,0.49412,0.52226,0.52547
1874,Municipiul Sebes,0.59709,0.58182,0.5987,0.59047,0.58852,0.57553,0.57259,0.56832,0.60038,0.56693,0.57276,0.5701,0.57213,0.57676
1936,Oras Zlatna,0.40056,0.39784,0.41992,0.42155,0.42222,0.40176,0.38594,0.41711,0.42955,0.44539,0.42764,0.45149,0.4744,0.48858
2130,Albac,0.22883,0.27957,0.27743,0.30243,0.29545,0.29623,0.24901,0.27402,0.25547,0.24998,0.29717,0.30357,0.30695,0.32772
2309,Almasu Mare,0.22403,0.2339,0.22377,0.21107,0.27677,0.22278,0.20272,0.25569,0.25809,0.31221,0.24411,0.28748,0.31242,0.27458
