CountryId,Country,Air_quality_Carbon_Monoxide,Air_quality_Ozone,Air_quality_Nitrogen_dioxide,Air_quality_Sulphur_dioxide,Air_quality_PM2.5,Air_quality_PM10
4,Afghanistan,1810.3673,59.8027,15.0965,0.7982,20.085,29.7274
8,Albania,298.1195,41.0628,13.4372,1.177,12.8345,19.4549
12,Algeria,325.4301,49.0779,35.6133,6.8788,11.3212,26.169
20,Andorra,178.0283,57.0124,2.1522,0.4965,2.6372,4.354
24,Angola,455.6071,34.4673,5.3894,3.0929,10.5239,25.354
28,Antigua and Barbuda,219.0469,49.7973,0.9487,0.9407,2.7451,7.4832
32,Argentina,375.385,56.292,13.0027,8.2504,4.2743,6.2673
51,Armenia,237.4442,30.4097,25.0124,2.0088,6.2496,8.6973
36,Australia,212.7496,28.1593,3.2779,0.4858,2.5735,4.031
40,Austria,405.2044,37.3867,19.4549,2.3717,8.6442,11.5478
31,Azerbaijan,255.9522,59.6717,12.0867,1.4363,8.4186,20.9717
44,Bahamas,217.6451,79.6071,1.7159,1.8956,3.5035,8.9124
48,Bahrain,312.7018,126.831,12.0602,28.369,50.5823,103.669
50,Bangladesh,1275.0655,19.2991,24.2204,5.4558,114.1611,137.0265
52,Barbados,270.0124,36.5018,3.6354,2.4389,3.1549,7.4035
112,Belarus,273.8,41.7354,8.3655,3.4496,5.5425,6.4982
56,Belgium,285.3173,42.8686,19.308,3.3367,7.2257,9.5009
84,Belize,200.7956,37.5717,0.1646,0.2115,2.1088,3.0611
204,Benin,587.7336,23.9558,4.9796,2.3035,17.4655,35.2637
64,Bhutan,326.9088,34.2177,1.769,0.3903,7.8292,9.6513
68,Bolivia,317.8619,21.9575,0.446,0.1531,3.8128,4.6097
70,Bosnia and Herzegovina,224.9566,38.2566,6.0469,4.3779,8.6204,11.754
72,Botswana,420.2867,42.5619,9.6327,2.5035,10.8699,14.9593
76,Brazil,347.5274,40.4628,0.5257,0.2681,6.2133,7.3752
96,Brunei Darussalam,358.7398,22.9991,3.523,1.4973,3.5451,3.7451
100,Bulgaria,294.4316,42.8378,7.4183,1.3263,10.7776,15.515
854,Burkina Faso,1606.3124,15.423,16.1699,6.0124,94.4876,177.6593
108,Burundi,798.5248,16.9584,5.8389,1.2115,29.1053,70.0531
116,Cambodia,1398.8389,16.4779,16.1558,5.4186,51.4584,67.308
120,Cameroon,650.2664,7.3681,4.0124,1.208,30.077,54.2788
124,Canada,271.4212,57.4531,4.9876,1.5062,4.4522,4.9434
132,Cape Verde,216.569,50.5159,1.4504,0.3106,40.7584,149.1345
140,Central African Republic,330.5912,1.3664,0.5,0.2301,9.0398,16.1416
148,Chad,512.1717,33.3841,2.831,1.5858,77.7248,272.8522
152,Chile,1189.7,68.8841,22.5558,10.4531,70.3336,88.5593
156,China,1729.0779,8.3487,58.8186,61.3929,183.7602,232.2381
174,Comoros,247.392,39.0088,0.3549,0.2204,2.4735,5.7726
178,Congo,816.9558,9.9354,9.1664,1.9513,21.8894,78.4531
188,Costa Rica,352.5035,38.5858,10.0504,11.3664,11.6513,12.4805
191,Croatia,464.5009,22.5478,22.7071,0.2743,19.1221,24.5531
192,Cuba,250.0947,78.4673,5.0876,14.8699,5.769,10.4726
196,Cyprus,256.2425,65.1283,3.5363,3.9699,13.7664,23.4522
203,Czech Republic,378.3841,33.646,22.2398,5.7345,13.1504,17.2947
180,Democratic Republic of Congo,817.015,9.9796,9.1549,1.9496,21.9115,78.4274
208,Denmark,299.1903,51.1345,9.3982,1.6018,5.6142,7.4664
262,Djibouti,303.9,69.9407,2.5566,3.0053,20.2496,48.8522
212,Dominica,247.9664,43.0239,1.9425,0.477,2.4717,5.6142
214,Dominican Republic,330.3655,57.2186,11.9699,13.1363,6.9558,10.0717
218,Ecuador,1396.5867,20.0389,55.6062,31.3903,22.0027,24.4796
818,Egypt,306.9805,51.5283,23.746,20.592,26.5779,66.4664
