CountryID,Country,Continent
4,"Afghanistan, Islamic Republic of",Asia
8,"Albania, Republic of",Europe
10,Antarctica (the territory South of 60 deg S),Antarctica
12,"Algeria, People's Democratic Republic of",Africa
16,American Samoa,Oceania
20,"Andorra, Principality of",Europe
24,"Angola, Republic of",Africa
28,Antigua and Barbuda,North_America
31,"Azerbaijan, Republic of",Europe
32,"Argentina, Argentine Republic",South_America
36,"Australia, Commonwealth of",Oceania
40,"Austria, Republic of",Europe
44,"Bahamas, Commonwealth of the",North_America
48,"Bahrain, Kingdom of",Asia
50,"Bangladesh, People's Republic of",Asia
51,"Armenia, Republic of",Europe
52,Barbados,North_America
56,"Belgium, Kingdom of",Europe
60,Bermuda,North_America
64,"Bhutan, Kingdom of",Asia
68,"Bolivia, Republic of",South_America
70,Bosnia and Herzegovina,Europe
72,"Botswana, Republic of",Africa
74,Bouvet Island (Bouvetoya),Antarctica
76,"Brazil, Federative Republic of",South_America
84,Belize,North_America
86,British Indian Ocean Territory (Chagos Archipelago),Asia
90,Solomon Islands,Oceania
92,British Virgin Islands,North_America
96,Brunei Darussalam,Asia
100,"Bulgaria, Republic of",Europe
104,"Myanmar, Union of",Asia
108,"Burundi, Republic of",Africa
112,"Belarus, Republic of",Europe
116,"Cambodia, Kingdom of",Asia
120,"Cameroon, Republic of",Africa
124,Canada,North_America
132,"Cape Verde, Republic of",Africa
136,Cayman Islands,North_America
140,Central African Republic,Africa
144,"Sri Lanka, Democratic Socialist Republic of",Asia
148,"Chad, Republic of",Africa
152,"Chile, Republic of",South_America
156,"China, People's Republic of",Asia
158,Taiwan,Asia
162,Christmas Island,Asia
166,Cocos (Keeling) Islands,Asia
170,"Colombia, Republic of",South_America
174,"Comoros, Union of the",Africa
175,Mayotte,Africa
178,"Congo, Republic of the",Africa
180,"Congo, Democratic Republic of the",Africa
184,Cook Islands,Oceania
188,"Costa Rica, Republic of",North_America
191,"Croatia, Republic of",Europe
192,"Cuba, Republic of",North_America
196,"Cyprus, Republic of",Europe
203,Czech Republic,Europe
204,"Benin, Republic of",Africa
208,"Denmark, Kingdom of",Europe
212,"Dominica, Commonwealth of",North_America
214,Dominican Republic,North_America
218,"Ecuador, Republic of",South_America
222,"El Salvador, Republic of",North_America
226,"Equatorial Guinea, Republic of",Africa
231,"Ethiopia, Federal Democratic Republic of",Africa
232,"Eritrea, State of",Africa
233,"Estonia, Republic of",Europe
234,Faroe Islands,Europe
238,Falkland Islands (Malvinas),South_America
239,South Georgia and the South Sandwich Islands,Antarctica
242,"Fiji, Republic of the Fiji Islands",Oceania
246,"Finland, Republic of",Europe
248,Aland Islands,Europe
250,"France, French Republic",Europe
254,French Guiana,South_America
258,French Polynesia,Oceania
260,French Southern Territories,Antarctica
