Siruta,Localitate,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
3397,Blandiana,0.2406,0.24268,0.13994,0.16815,0.19027,0.19834,0.12407,0.12404,0.16195,0.08761,0.0,0.0,0.0,0.0
3841,Ceru-Bacainti,0.27042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3312,0.0
4981,Intregalde,0.12483,0.0,0.0,0.0,0.0,0.0,0.0587,0.0,0.07018,0.08761,0.09324,0.0,0.10486,0.03485
6119,Ocolis,0.0,0.0,0.16203,0.0992,0.15766,0.23637,0.20793,0.25224,0.23479,0.19474,0.16455,0.21777,0.30914,0.25752
6164,Ohaba,0.0,0.0,0.0,0.0,0.14898,0.12313,0.10952,0.19359,0.19605,0.15262,0.19763,0.23599,0.24071,0.21482
6397,Ponor,0.0,0.0,0.18904,0.07798,0.13524,0.12407,0.09917,0.14886,0.07018,0.0702,0.07022,0.07796,0.08761,0.07018
6627,Ramet,0.16187,0.16415,0.10802,0.0,0.17125,0.17117,0.2328,0.22228,0.29953,0.26999,0.21604,0.11863,0.14392,0.26663
11307,Ignesti,0.0,0.0,0.14894,0.14165,0.11225,0.17773,0.11739,0.10305,0.09915,0.09378,0.11837,0.11461,0.0,0.0
11762,Plescuta,0.0991,0.10786,0.0,0.07467,0.06299,0.07557,0.1399,0.10797,0.10797,0.17117,0.25082,0.26999,0.20756,0.19353
14726,Botesti,0.05431,0.0,0.0,0.0,0.078,0.16199,0.09917,0.19239,0.13219,0.19382,0.20313,0.1503,0.24665,0.29897
15554,Ciomagesti,0.10791,0.10786,0.10802,0.0,0.0,0.09917,0.1489,0.16038,0.18198,0.23128,0.20175,0.21177,0.19017,0.24114
20048,Raca,0.0,0.09905,0.08764,0.14894,0.20727,0.13517,0.22234,0.24141,0.20711,0.24316,0.24323,0.20756,0.22033,0.15236
21891,Colonesti,0.0,0.0,0.0,0.08764,0.0,0.0,0.0,0.0,0.08251,0.11241,0.12496,0.05435,0.04746,0.07556
23868,Oncesti,0.10791,0.0,0.0992,0.07798,0.0,0.0,0.0,0.2075,0.23631,0.27533,0.32236,0.33254,0.31115,0.32483
25629,Strugari,0.0,0.14787,0.1644,0.17121,0.09922,0.16199,0.20717,0.20711,0.25327,0.21061,0.21067,0.15758,0.2328,0.24254
25745,Tatarasti,0.07015,0.08243,0.13383,0.1494,0.14181,0.14034,0.13985,0.1318,0.10278,0.03816,0.06637,0.11269,0.0,0.07218
32768,Budesti,0.0,0.0,0.05436,0.0,0.0,0.0,0.0,0.0,0.0,0.10799,0.10802,0.26999,0.28679,0.24254
34422,Silivasu De Campie,0.0991,0.16415,0.1352,0.07798,0.07023,0.14026,0.11461,0.05869,0.06388,0.11461,0.06391,0.0,0.13399,0.16999
36907,Cristesti,0.16776,0.17095,0.0,0.0,0.078,0.21467,0.2463,0.23111,0.20344,0.24745,0.24207,0.16115,0.16951,0.30958
37100,Dobarceni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0944,0.06145,0.17099,0.15787,0.1294,0.17518
37173,Draguseni,0.10596,0.0,0.0,0.05436,0.0,0.08761,0.0702,0.07018,0.10559,0.09129,0.10768,0.13535,0.09617,0.09614
37397,George Enescu,0.0,0.0,0.10708,0.16022,0.13524,0.19043,0.16555,0.19158,0.18103,0.17819,0.21073,0.20874,0.23211,0.271
38376,Mitoc,0.17104,0.10786,0.06391,0.0,0.0,0.0,0.0,0.0,0.0,0.07796,0.10488,0.1489,0.21392,0.19704
38456,Nicseni,0.06385,0.0,0.0,0.0,0.0,0.10799,0.0,0.0,0.0,0.0,0.1644,0.15646,0.20478,0.19353
38544,Pomarla,0.18537,0.14679,0.15184,0.1403,0.14705,0.0,0.0,0.24652,0.24442,0.22306,0.28224,0.21968,0.27317,0.27228
39220,Stiubieni,0.0991,0.0,0.10802,0.10802,0.0,0.0,0.16436,0.10797,0.23722,0.19897,0.23621,0.2277,0.23211,0.26117
39532,Unteni,0.0,0.0,0.10488,0.20428,0.14604,0.18202,0.17903,0.19556,0.28186,0.2897,0.24833,0.24267,0.27328,0.25299
39658,Viisoara,0.05866,0.06382,0.0,0.0,0.078,0.09917,0.0,0.10797,0.0,0.0,0.0992,0.07796,0.1489,0.22228
39959,Dimacheni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29867,0.30519,0.30992,0.0,0.0,0.0,0.33757
39975,Cosula,0.14794,0.2073,0.0,0.0992,0.09922,0.0702,0.10486,0.16857,0.16807,0.23728,0.26067,0.16437,0.17946,0.18699
39983,Blandesti,0.10373,0.12923,0.14177,0.08675,0.0,0.12313,0.09917,0.23349,0.15726,0.0882,0.09842,0.04557,0.04981,0.1403
