Judet,Localitate,Media
ab,Municipiul Alba Iulia,0.6811292857142857
ag,Municipiul Pitesti,0.6584942857142858
ar,Municipiul Arad,0.6964678571428571
b,Municipiul Bucuresti,0.7748850000000002
bc,Municipiul Bacau,0.6624914285714286
bh,Municipiul Oradea,0.7347021428571427
bn,Municipiul Bistrita,0.6323571428571427
br,Municipiul Braila,0.6856835714285712
bt,Municipiul Botosani,0.6408021428571429
bv,Municipiul Brasov,0.740895
bz,Municipiul Buzau,0.7042428571428571
cj,Municipiul Cluj-Napoca,0.7419014285714285
cl,Municipiul Calarasi,0.6244057142857142
cs,Municipiul Resita,0.6630707142857143
ct,Municipiul Constanta,0.725235
cv,Municipiul Sfantu Gheorghe,0.6618735714285714
db,Municipiul Targoviste,0.6702385714285714
dj,Municipiul Craiova,0.7297585714285715
gj,Municipiul Targu Jiu,0.5303828571428572
gl,Municipiul Galati,0.6935357142857143
gr,Municipiul Giurgiu,0.6726607142857144
hd,Municipiul Hunedoara,0.612622857142857
hr,Municipiul Miercurea Ciuc,0.6613671428571429
if,Oras Popesti Leordeni,0.668457142857143
il,Municipiul Slobozia,0.6377592857142858
is,Municipiul Iasi,0.7460085714285715
mh,Municipiul Drobeta-Turnu Severin,0.6383078571428571
mm,Municipiul Baia Mare,0.7055285714285714
ms,Municipiul Targu Mures,0.6989814285714286
nt,Municipiul Piatra-Neamt,0.6968064285714286
ot,Municipiul Slatina,0.6043035714285715
ph,Municipiul Ploiesti,0.7140578571428572
sb,Municipiul Sibiu,0.7020571428571428
sj,Municipiul Zalau,0.6676957142857144
sm,Municipiul Satu Mare,0.6661050000000001
sv,Municipiul Suceava,0.6949414285714287
tl,Municipiul Tulcea,0.6385342857142857
tm,Municipiul Timisoara,0.7171199999999999
tr,Municipiul Alexandria,0.6167835714285713
vl,Municipiul Ramnicu Valcea,0.6678607142857143
vn,Municipiul Focsani,0.610525
vs,Municipiul Vaslui,0.5975400000000001
