Indicativ,Judet,Regiunea,Macroregiunea,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
ab,Alba,c,1,7.2,15.7,5.9,136.742,52.048,3.8,2846,231.156,35.137,1590,169.323,642.749,213.428,8013.061,32.895,427.839,19.871,53150.456,33.878,3594.609,2740.233,32.381,1.465,24.125,549.74,864.998,3765.333,529.721,82.008,58.073,7533.115285
ar,Arad,v,4,7.8,16.4,5.5,189.112,65.277,2.2,2761,137.798,12.836,1447,167.767,561.095,287.027,6711.417,33.855,65.56,21.625,55418.602,157.433,5295.734,1616.382,96.087,1.652,25.776,343.665,654.264,3717.196,486.459,73.097,40.533,8050.258589
ag,Arges,s,3,7.5,16,5.5,85.023,27.36,3.8,3043,270.193,29.576,1681,169.716,620.96,263.899,6628.842,30.326,450.575,14.352,49787.616,332.472,2163.607,1149.456,1.614,1.427,24.163,112.036,462.631,2915.706,340.957,74.123,53.031,10781.96273
bc,Bacau,ne,2,7.7,14.7,5.7,237.17,169.603,5.4,2825,113.92,51.723,1570,168.199,497.491,187.781,6634.091,40.737,95.984,9.368,34982.834,21.608,1849.033,1469.969,4.052,1.912,22.139,197.899,518.286,3386.404,544.994,59.472,45.893,1318.601812
bh,Bihor,nv,1,9.2,15.8,6,94.865,31.74,2.3,2603,227.688,18.244,1532,191.794,751.25,445.793,5855.531,84.603,829.376,14.611,43818.908,3.923,3391.875,1689.481,23.319,1.125,22.901,152.818,2068.495,3664.949,512.84,71.448,49.921,3690.832188
bn,Bistrita-Nasaud,nv,1,9.3,14.1,7.2,162.723,61.784,3.4,2538,409.477,18.602,1337,175.454,546.003,177.092,5908.854,23.924,210.811,15.644,39193.641,45.979,2481.387,2415.871,8.944,2.211,23.268,144.763,542.601,4718.611,475.238,71.074,48.807,2389.47221
bt,Botosani,ne,2,8.1,16.2,6.8,168.753,1034.734,2.9,2671,178.725,24.195,1273,163.87,579.525,171.398,7359.115,60.502,56.606,13.614,28395.685,5.29,4135.428,2657.898,44.458,0.505,22.144,254.452,160.807,3412.085,788.218,38.16,29.268,826.3883746
br,Braila,se,2,6.4,19.2,6.9,173.038,33.357,4.3,2607,164.828,31.558,1471,146.109,678.253,201.183,5524.389,65.258,105.275,13.746,40979.09,9.034,4108.1,1615.821,820.454,0.328,19.986,328.008,487.106,3276.604,554.903,102.614,71.31,726.7805892
bv,Brasov,c,1,9,13.4,6.4,205.305,121.012,2.6,3111,166.615,23.552,1889,201.434,707.984,363.398,6817.896,556.667,3359.234,19.914,63697.256,268.795,965.294,1408.741,55.617,1.375,25.527,185.046,3599.238,3487.646,288.331,101.616,85.872,6354.495086
bz,Buzau,se,2,7.1,18.4,5.5,101.582,32.078,7.9,2644,169.841,68.043,1390,147.945,627.716,152.615,5500.119,101.723,326.351,18.545,36477.015,25.031,3396.195,2489.854,46.045,1.135,23.294,277.041,323.107,2933.714,374.248,84.92,47.698,1717.0832
cl,Calarasi,se,2,8.3,18.6,7.9,98.124,35.778,4.3,2769,113.047,30.881,1336,138.648,428.981,123.629,5629.323,,262.854,12.189,32938.359,98.478,3534.586,2613.471,218.961,0.67,18.496,229.545,85.654,3426.179,758.067,53.889,28.608,1038.877494
cs,Caras-Severin,v,4,6.1,16.4,3.7,268.778,62.481,3.4,2650,140.866,20.716,1581,136.545,659.191,201.491,5766.044,20.36,719.602,14.027,40666.142,,2500.911,1775.964,5.316,2.616,24.827,513.896,2101.91,3998.773,714.648,65.492,49.688,1332.697434
cj,Cluj,nv,1,9.2,14,4,131.447,82.313,1.6,3744,204.612,10.179,1646,248.773,992.133,609.653,13944.672,124.015,458.164,21.997,75077.23,297.061,1663.847,900.383,10.143,0.46,25.114,162.932,1022.549,4144.735,527.481,96.407,78.002,2544.838706
ct,Constanta,se,2,8,14.7,7.4,185.166,63.159,3,2918,122.417,14.691,1695,196.099,677.209,368.4,5692.125,46.272,926.48,20.333,59125.528,72.075,1739.657,902.265,63.224,0.094,24.055,159.754,6742.95,3658.593,349.973,87.301,69.219,2863.825569
cv,Covasna,c,1,9,14.5,5.9,62.409,19.812,5.1,2579,193.369,33.324,1472,161.66,896.514,214.965,7738.47,161.16,119.093,17.504,39412.956,37.148,4727.093,1810.568,24.969,2.738,21.977,322.943,2319.654,3342.365,438.351,66.808,58.771,1441.699316
db,Dambovita,s,3,8.3,16.2,4.9,110.586,50.694,3.2,2727,129.564,29.593,1536,147.18,476.686,114.674,5189.141,27.133,745.507,13.516,37828.054,38.634,4279.34,1077.731,1.318,0.686,21.514,200.731,405.674,2983.375,423.13,71.672,29.872,1343.88638
dj,Dolj,sv,4,7.7,17.1,7.8,108.108,43.147,7.1,2967,149.478,56.73,1521,182.116,771.032,558.826,7908.562,53.068,261.909,14.121,42425.054,72.5,4717.605,1126.628,66.987,0.292,24.02,141.792,192.044,2953.404,358.97,54.143,48.697,4107.373486
