,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,1.0,-0.5260947836217956,0.05207980262477506,0.0024612262580927615,0.17537604479627372,-0.3490214125825769,0.33277965559075867,-0.034526575149482194,-0.26342560876349447,-0.0865709184708097,0.4761742716755548,0.0866673572172829,0.2975870261312838,0.22769392231209318,0.21799824462865558,0.07992613481996662,0.22273222481805732,0.2207664235841997,0.3815890003990377,-0.2570626493148143,-0.1614728758657164,-0.1403808243233852,0.12949768034265507,0.2682344979712559,-0.4818053615863684,0.04339942055584883,0.08033275260733565,-0.31920963691449533,-0.1133518927620998,0.07738920186930755,0.1647400192493886
RM,-0.5260947836217956,1.0,0.12335264201013682,-0.37398533914567056,-0.33402614359544097,0.37571668251171364,-0.34964390085677904,-0.09816122548687628,0.35745513031290294,-0.21900084488037647,-0.5318605266962949,-0.30710258233297544,-0.36555247991836565,-0.3294011076037937,-0.3003594069530853,-0.3083361292353059,-0.2789015139331918,-0.34709352381574093,-0.4475628226309556,0.5780829267404091,0.24155658335239666,0.3108872224571187,-0.19313529422795328,-0.37300150034689183,0.3589408826659326,-0.31519004334608436,-0.22067240766732385,0.2692690034001496,-0.15594032027227206,-0.3032112032034116,-0.272616831773932
RMI,0.05207980262477506,0.12335264201013682,1.0,-0.1624282354291333,-0.22457346442768458,0.15017259570505337,-0.3825171715884524,0.1073545364233733,0.13605462203550203,-0.15280538150684106,-0.06396791379989741,-0.2339370380206861,-0.2271687604409077,-0.0746513422801226,0.025474627247193043,0.1301194850213235,-0.21449477751660007,-0.33540154352644425,-0.3641243901738875,0.13018382157478708,0.3490798022629379,-0.02424616346897835,0.2091730550974456,-0.2023087496697578,0.02857475891193552,0.09608792550884705,0.1086152596084906,0.365939430613567,-0.04881664066827177,-0.11667758112350722,-0.11293529585892206
Emigranti,0.0024612262580927615,-0.3739853391456705,-0.16242823542913332,1.0,0.744280962609724,-0.00853184713061195,0.3001085036802563,-0.025371756922177045,-0.020971588089380634,0.20932920464399105,0.40995667239618383,0.2737219914962879,0.31134896069918466,0.33392629931046747,0.19170352330812584,0.23386858969887211,0.013921517252512807,0.18677029256975392,0.2835862347886504,-0.39153639235596105,-0.1987321217575001,0.046634325456856904,-0.1556587250791843,-0.032152362223127014,-0.022758316858165904,0.027884109333923303,0.24479469018670813,-0.0326663904907454,0.12128305953577749,0.2735213918807577,0.07900000840706119
Imigranti,0.17537604479627372,-0.334026143595441,-0.22457346442768458,0.744280962609724,1.0,0.15921528635032214,0.20057253198524005,-0.11020414817716576,0.14678681478438899,-0.02270789683116132,0.3017948520147426,0.16787278163142563,0.1480368604987178,0.2691104765908322,0.05748733397382541,-0.054152405687165145,-0.13029008314412244,0.014949153091251907,0.15533254568938784,-0.22351492124692995,-0.16445087449754642,0.01780753496080736,-0.20591886988093946,-0.130058644132535,-0.12490919266113394,-0.1822080150228839,0.07990148418375267,0.03598183146379252,-0.199182585764342,-0.011651199300321708,-0.1391286628083852
RS,-0.34902141258257696,0.37571668251171364,0.15017259570505337,-0.00853184713061195,0.15921528635032214,1.0,-0.5183066264000363,-0.1689773959605079,0.9083196191195745,-0.3029884629978952,-0.31785529531044615,-0.2275754802640284,-0.4309475761551966,-0.225515702180142,-0.1457168389404045,-0.2590379848525305,-0.48118391049754766,-0.5489411879116278,-0.5097591128927783,0.432238373095224,0.2922467852633533,-0.015521816742908232,0.045481107505622495,-0.4210667816314415,0.3123889335712451,-0.2523598195232792,-0.2749855286694056,0.2389363975857846,-0.307129139538256,-0.2959477687088923,-0.4287700688569491
Sal,0.33277965559075867,-0.34964390085677904,-0.38251717158845233,0.3001085036802563,0.20057253198524005,-0.5183066264000362,1.0,-0.01696355757931782,-0.5087290328980038,0.48603352790764986,0.6708795131464066,0.5597613670052557,0.7897044148169398,0.6781835560475024,0.3664116829539926,0.19985016558087093,0.43703062377570995,0.8582632015553813,0.8090896170403534,-0.5133819799239737,-0.58973785493572,0.1700835683580504,-0.3029051305506798,0.3827773942659218,-0.4536429059584116,0.038722931481564,0.32197042181680907,-0.5181590415383015,0.3912042367193674,0.5288497955155765,0.5184270472274322
CSom,-0.034526575149482194,-0.0981612254868763,0.1073545364233733,-0.02537175692217705,-0.11020414817716576,-0.1689773959605079,-0.01696355757931782,0.9999999999999998,-0.24637985976279642,0.39708351873519093,0.09495732017982313,0.30576298064946306,0.09747590958725715,0.22666284849021243,0.008761326264816488,0.12519434379654296,0.2754387158302857,0.19471778855039332,0.11874485155240683,-0.21440096787103805,0.07197888015711162,-0.14279977155887374,0.22362321650124353,1.6627731801818476e-05,0.07451634479521987,-0.03580369999079583,0.3746803623119921,-0.051004300547624004,0.24190201215894214,0.38049888277328053,0.16502075104699285
AjSoc,-0.26342560876349447,0.35745513031290294,0.136054622035502,-0.020971588089380634,0.14678681478438899,0.9083196191195745,-0.5087290328980038,-0.24637985976279642,1.0,-0.40895930737406483,-0.3299931219978224,-0.2968255687456764,-0.4195504127971731,-0.26689979787786544,-0.12293952831722793,-0.21577350009984683,-0.38703736623818574,-0.5910547539717697,-0.5009382744672762,0.4574870544332111,0.299441859398398,-0.11796359473273343,-0.006938413765084953,-0.3783799664580019,0.2825174989102842,-0.323340304998466,-0.2922644159376521,0.28501342540519936,-0.3980626890973138,-0.36959063880800325,-0.41433468087218317
Pensie,-0.0865709184708097,-0.21900084488037644,-0.15280538150684106,0.20932920464399102,-0.022707896831161322,-0.3029884629978952,0.48603352790764986,0.397083518735191,-0.4089593073740648,1.0,0.41773346205193584,0.6106714595527121,0.48402080677721077,0.4429516655158302,0.3759110012503501,0.5150781366574018,0.29787908381848843,0.6351398313436842,0.44696735002240123,-0.6038276203069336,-0.5178777991150615,-0.025201797913846257,0.03133715286975375,0.18227086205046472,-0.13734037279875047,0.31252796127941934,0.18333954159305843,-0.4281524904454303,0.6135649504523601,0.7152953824393217,0.3447922237911163
