,I1,I2a,I2b,R1a,R1b,G,J2,J1,E1b1b,T,Q,N
I1,0.9999999999999999,-0.431251569461147,0.48857154639844363,-0.041890414718593484,0.1379369977729363,-0.3306497294762067,-0.48936837696707153,-0.48953800679991355,-0.5287461173709957,-0.4536969582109023,0.30724491406435994,0.18733434223656645
I2a,-0.43125156946114696,1.0,-0.4800123318341131,0.14019871950574028,-0.532639542647221,-0.08559027233749521,0.12960970597265456,0.09367056051384053,0.4961908947421653,-0.06539531079632924,0.30010575535514583,-0.2214070610746064
I2b,0.48857154639844363,-0.4800123318341132,1.0,-0.34635504450666693,0.6832788935061972,0.19513782478343558,-0.2991956966431835,-0.25181565654804783,-0.2815642015149655,-0.3437961690466456,0.05202086516097527,-0.3665496789202553
R1a,-0.04189041471859348,0.14019871950574025,-0.3463550445066669,0.9999999999999999,-0.5741328224998308,-0.45958318004103865,-0.399109673449617,-0.31922595688903166,-0.34676825636491365,-0.28330544310885053,0.050747689774168686,0.277087200516766
R1b,0.13793699777293628,-0.5326395426472211,0.683278893506197,-0.5741328224998308,1.0,0.24125781342348132,-0.12973894479203726,-0.03998521786250095,-0.2678029132279638,-0.021637267997197715,-0.19062226511454666,-0.3930673778043516
G,-0.3306497294762067,-0.08559027233749522,0.19513782478343558,-0.45958318004103865,0.2412578134234813,1.0,0.6642804000324011,0.5797173868057572,0.4199857932187407,0.5401359063526595,-0.14899145784428353,-0.49374165513099216
J2,-0.4893683769670715,0.12960970597265456,-0.29919569664318346,-0.399109673449617,-0.12973894479203726,0.664280400032401,0.9999999999999998,0.7779536633622629,0.7160331563073667,0.7450504046662226,-0.21620878012154476,-0.3542294112623914
J1,-0.48953800679991355,0.09367056051384053,-0.25181565654804783,-0.31922595688903166,-0.039985217862500935,0.5797173868057572,0.777953663362263,0.9999999999999999,0.494898625716131,0.7031455908459656,-0.2788676923723349,-0.3004495495899466
E1b1b,-0.5287461173709959,0.4961908947421653,-0.28156420151496553,-0.34676825636491365,-0.26780291322796385,0.41998579321874063,0.7160331563073667,0.49489862571613097,0.9999999999999998,0.36247434379713517,-0.016116919770508175,-0.3991303955131725
T,-0.4536969582109022,-0.06539531079632924,-0.34379616904664567,-0.2833054431088504,-0.021637267997197625,0.5401359063526596,0.7450504046662225,0.7031455908459657,0.3624743437971352,1.0000000000000004,-0.2412934294747508,-0.1071544592336679
Q,0.30724491406436,0.3001057553551458,0.05202086516097525,0.05074768977416873,-0.19062226511454666,-0.1489914578442835,-0.2162087801215447,-0.27886769237233483,-0.016116919770508182,-0.2412934294747508,0.9999999999999994,-0.06611102697879606
N,0.18733434223656642,-0.22140706107460642,-0.36654967892025525,0.277087200516766,-0.3930673778043515,-0.4937416551309923,-0.35422941126239127,-0.3004495495899465,-0.3991303955131725,-0.10715445923366788,-0.06611102697879612,1.0
