Regiune/Haplogrup,L,HV,H,H1_H3,H5,HV0_V,J,T1,T2,U2,U3,U4,U5,U,K,Eu,W,X,Alt,M?rime
Albania,0.3,0.9,47.9,3,4,3.4,7.1,4.3,5.5,1.9,0.6,2.5,6.4,2.8,5.2,1.8,2.5,1.8,5.1,149
Algeria,24.8,1.3,31.3,12,1,7.5,4.4,3.7,1.5,0.6,0.3,0.3,2.1,6.5,3.4,0.1,0.3,1.3,9.7,939
Armenia,0,5.9,29.1,2,1.4,0,9.6,5.5,5,0.9,5,4.1,3.6,8.2,7.3,1.4,0.9,3.6,10,220
Ashkenazi Jews,1.4,5,22.8,7.5,2.7,4.1,6.8,0,4.8,0,1,1,2,2.1,31.8,1.3,1.6,0.8,13.4,836
Austria,0,0.8,44.9,16.5,3.7,1.9,8.8,4,8,1.9,0.8,4.6,8.6,1.4,8.6,1.1,1.3,1.3,2,374
Azerbaijan,0,6,23.3,6,0.9,2.6,6,4.3,9.5,0.9,3.5,3.5,4.3,8.6,4.3,2.6,2.6,3.5,14.6,116
Belarus,0,2,39.1,11,2.9,6,8.9,2.3,5.1,2.3,2,3.1,9.1,6.6,2.3,1.7,3.7,0.3,5.4,350
Belgium,0,0.7,46.9,26.8,6,2.7,6,2,9.4,0.7,1.3,2.7,3.4,5.4,12.1,2,3.3,1.3,0,149
Bosnia-Herzegovina,0.5,1.1,45.8,,5.6,4.7,8.3,1.8,4.4,0.8,0.8,4.9,8.8,1.1,4.9,3.2,2.9,0.8,5,521
Bulgaria,0.3,3.8,41.9,9.5,3.2,3.6,7.7,4.7,4.7,1.3,2,3.9,6.9,2.5,5.8,1.4,2.5,1.8,5.2,989
Croatia,0,3.7,41.1,13.5,,5.1,9.7,1.5,5.8,1.7,0.1,1.8,10.3,0.1,5.1,3.2,3.3,1.1,6.4,721
Cyprus,2.4,2.4,30.7,,,0.2,5.1,1.2,5.4,0,5.4,3.6,1.2,7.2,20.5,3.1,3.5,2.5,11,166
Czech Republic,0.3,1.7,40.2,15,4,2.9,10,4,7.7,1.1,1.7,2.3,9.7,0.6,3.4,2.9,1.1,2,8.4,351
Denmark,0.5,0,47.3,,1.3,3.6,13.4,1.3,5.8,2.7,0,2.2,5.8,1.4,8.9,2.3,0.9,0.9,3,224
Egypt,21.8,4,15.7,,0.4,0.4,8.8,5.3,6.1,0.6,3.3,1,1.6,2.9,4.5,2,1,0.6,20.6,491
England,0.2,0,44.7,20,4.1,3.2,11.5,1.6,6.2,1.5,0.6,2.2,9.1,2.7,7.8,4,1.2,1.6,1.9,2333
Estonia,0,0.8,45.8,20,3.8,1.5,10.7,1.5,7.6,1.5,0.8,5.7,13.3,1.1,1.9,1.1,3,0.8,2.7,262
Finland,0,0,36.3,19,2.3,7.3,5.9,2,2.4,0.6,0,1.1,20.7,0.8,4.5,4.2,9.6,1.3,3.3,971
France,0.9,2,44.3,26.5,3.1,5,7.7,1.9,6.2,1.6,1,2.5,8.2,1.4,8.7,2,1.9,0.9,3.8,1216
Brittany,0,0,45.6,,,4.7,6.7,2,8.4,1.3,2.3,2,10.4,1.7,6,3,3.4,0.7,1,298
Georgia,0,3.8,19.9,1.5,1.5,0.4,3.1,4.6,8.8,1.2,4.6,8.4,4.2,4.6,11.9,0.4,3.1,2.7,18.4,261
Germany,0.3,0.5,44.8,16,4.8,4,9,2.8,7.8,1,1.1,2.9,8.8,0.8,6.6,2.1,1.7,1.3,4.5,2490
Greece,0.1,2.7,40.5,6,3.7,1.8,9.5,3.5,6.6,0.7,3.8,2.6,5.2,2.5,5.1,2,1.3,4.2,7.9,996
Hungary,0.3,0.8,39.2,16.5,3.5,4.9,10.1,2.5,8.7,0.8,0.5,3.3,7.4,1.4,6.8,1.9,5.2,1.1,5.1,367
Iceland,0.2,3.6,37.7,23,3.6,2.1,13.7,0.5,10.1,0,0,2.8,7.7,0.2,9.8,3.9,0.5,1.5,3.3,998
Iran,0.2,7.4,16.9,,,0.6,13.8,3.1,4.9,1.6,2.8,1,3.3,11.8,7.3,2.4,2.4,2.8,17.7,509
Iraq,7.6,9.2,17.2,1.5,2.6,0.2,13.2,5.4,3.5,0.9,5,2.8,1.4,7.3,5.2,0.9,2.1,1.2,16.7,424
Ireland,0,1.3,44.1,22.5,1.3,5.7,10.7,1.3,5.4,1.3,1,1.3,8.4,0.3,12,3,2.3,0.7,1.2,299
Italy,0.8,2.9,40.2,11,3.9,3.3,8.1,3.3,8.2,1.6,2.1,1.9,4.6,2.7,7.7,1.4,1.9,2,7.3,2799
Sardinia,0.5,4.4,44.3,31.5,1,3.7,13,2.9,10.3,0,0,0,10,1.4,6,1.6,0.4,0.4,0.8,328
Jordan,13.7,6,25.2,2,1.6,0,6,0.6,6.6,1.1,14.8,1.6,0.6,4.4,4.4,1.6,1.1,1.1,11.4,183
Kurdistan,2.2,8.5,17.5,,1.7,0.7,14.8,5,3.5,1.1,2.8,0.6,1.7,15.8,5.1,3.4,2.8,1.1,17,178
Latvia,0,2.2,42,,7,2.7,6,1.7,6.3,3.6,2.2,8.7,10,1.2,2.4,4.6,4.1,0.2,2,412
Lebanon,1.8,3.7,33.8,6.5,2.4,2,7.9,5.7,4.6,0.8,5,1.4,2.2,5.2,8.3,1.7,1.9,2,12.4,787
Druzes,2.5,5.9,29.4,,0.3,0.6,4.8,4.8,0.9,0.6,0.6,0,0.9,8.5,13,3.4,1.1,15,8.2,354
Libya,27.5,1.1,17.1,,1.5,7.8,9.7,1.5,4.5,0.4,2.2,0.4,3.4,5.6,5.2,0.4,0,2.2,11.2,269
