Code,Country,L,HV,H,H1_H3,H5,HV0_V,J,T1,T2,U2,U3,U4,U5,U,K,Eu,W,X,Alt
ALB,Albania,0.3,0.9,47.9,3,4,3.4,7.1,4.3,5.5,1.9,0.6,2.5,6.4,2.8,5.2,1.8,2.5,1.8,5.1
AUT,Austria,0,0.8,44.9,16.5,3.7,1.9,8.8,4,8,1.9,0.8,4.6,8.6,1.4,8.6,1.1,1.3,1.3,2
BLR,Belarus,0,2,39.1,11,2.9,6,8.9,2.3,5.1,2.3,2,3.1,9.1,6.6,2.3,1.7,3.7,0.3,5.4
BEL,Belgium,0,0.7,46.9,26.8,6,2.7,6,2,9.4,0.7,1.3,2.7,3.4,5.4,12.1,2,3.3,1.3,0
BIH,Bosnia-Herzegovina,0.5,1.1,45.8,,5.6,4.7,8.3,1.8,4.4,0.8,0.8,4.9,8.8,1.1,4.9,3.2,2.9,0.8,5
BGR,Bulgaria,0.3,3.8,41.9,9.5,3.2,3.6,7.7,4.7,4.7,1.3,2,3.9,6.9,2.5,5.8,1.4,2.5,1.8,5.2
HRV,Croatia,0,3.7,41.1,13.5,,5.1,9.7,1.5,5.8,1.7,0.1,1.8,10.3,0.1,5.1,3.2,3.3,1.1,6.4
CYP,Cyprus,2.4,2.4,30.7,,,0.2,5.1,1.2,5.4,0,5.4,3.6,1.2,7.2,20.5,3.1,3.5,2.5,11
CZE,Czech Republic,0.3,1.7,40.2,15,4,2.9,10,4,7.7,1.1,1.7,2.3,9.7,0.6,3.4,2.9,1.1,2,8.4
DNK,Denmark,0.5,0,47.3,,1.3,3.6,13.4,1.3,5.8,2.7,0,2.2,5.8,1.4,8.9,2.3,0.9,0.9,3
EST,Estonia,0,0.8,45.8,20,3.8,1.5,10.7,1.5,7.6,1.5,0.8,5.7,13.3,1.1,1.9,1.1,3,0.8,2.7
FIN,Finland,0,0,36.3,19,2.3,7.3,5.9,2,2.4,0.6,0,1.1,20.7,0.8,4.5,4.2,9.6,1.3,3.3
FRA,France,0.9,2,44.3,26.5,3.1,5,7.7,1.9,6.2,1.6,1,2.5,8.2,1.4,8.7,2,1.9,0.9,3.8
DEU,Germany,0.3,0.5,44.8,16,4.8,4,9,2.8,7.8,1,1.1,2.9,8.8,0.8,6.6,2.1,1.7,1.3,4.5
GRC,Greece,0.1,2.7,40.5,6,3.7,1.8,9.5,3.5,6.6,0.7,3.8,2.6,5.2,2.5,5.1,2,1.3,4.2,7.9
HUN,Hungary,0.3,0.8,39.2,16.5,3.5,4.9,10.1,2.5,8.7,0.8,0.5,3.3,7.4,1.4,6.8,1.9,5.2,1.1,5.1
ISL,Iceland,0.2,3.6,37.7,23,3.6,2.1,13.7,0.5,10.1,0,0,2.8,7.7,0.2,9.8,3.9,0.5,1.5,3.3
IRL,Ireland,0,1.3,44.1,22.5,1.3,5.7,10.7,1.3,5.4,1.3,1,1.3,8.4,0.3,12,3,2.3,0.7,1.2
ITA,Italy,0.8,2.9,40.2,11,3.9,3.3,8.1,3.3,8.2,1.6,2.1,1.9,4.6,2.7,7.7,1.4,1.9,2,7.3
LVA,Latvia,0,2.2,42,,7,2.7,6,1.7,6.3,3.6,2.2,8.7,10,1.2,2.4,4.6,4.1,0.2,2
LTU,Lithuania,0,0.9,45.3,14,2.3,5,6.4,3.2,7,0,1.2,3.8,11.4,1.2,1.5,3.2,2,0.9,7
MKD,Macedonia,0.3,0,45,19,4,4.5,7.5,4.5,4,3,1,2,8,2,5,1.5,4,3,4.7
NLD,Netherlands,0.3,0,45,14,,8,11,2,12,1.5,0,6.5,7.5,0.5,10,2.5,2.5,0.5,0.2
NOR,Norway,0.3,0.2,45.7,31.5,3,3.8,10.5,1,7.6,0.2,1.3,2.7,11.4,1.9,5.4,1.9,1.8,0.5,3.8
POL,Poland,0.1,1,43.9,14.5,4.5,4.9,7.9,2.1,6.9,1.3,0.7,5.2,10.1,1.4,4,1.9,3.6,1.9,3
PRT,Portugal,6.4,0.1,43.9,26,2.1,4.8,6.8,3.3,6.3,1.2,0.9,1.7,6.5,3,6.1,2.2,1.8,2,2.9
ROU,Romania,0.2,2,37.2,3.5,6.1,4,10.5,3.5,5.1,1.2,1,2.9,7.2,2.4,7.9,0.9,3.9,1.9,9
RUS,Russia,0.2,1.8,41.2,15,4.9,4.2,7.8,2.7,6.5,1.4,1.1,3.9,10.4,2.2,3.7,2,1.8,1.3,8
SRB,Serbia,0.5,0.9,41,,,5.1,6.8,3.4,1.7,1.7,0.9,6.8,9.4,1.5,4.3,3.4,3.4,0,9.2
SVK,Slovakia,0.3,1.9,43,10,5,3.2,9.6,1.2,8.1,0.9,0.9,5.5,11.1,1.2,3.8,2.9,2,1,4.1
SVN,Slovenia,0,1.1,44.4,14.5,8.1,4.8,9.8,2.5,6.4,1.1,1.7,2.8,9,1.4,5.3,2.8,2.2,1.1,3.7
ESP,Spain,2.4,0.7,44.1,28,2.6,7.5,6.6,2.1,6.4,1.1,1.4,1.9,8.1,1.8,6.3,1.1,1.4,1.7,5.5
SWE,Sweden,0.6,0.5,45.8,31.5,2.2,5,7.7,2.7,4,0.8,0.6,3,12.1,2.8,6.4,2.8,1.3,1.3,2.5
CHE,Switzerland,0.9,0.4,47.9,15.5,4.4,4.9,11.5,2.2,9.3,0.9,0.9,3.1,6.7,0.4,5.3,0.9,1.8,0.4,2.7
UKR,Ukraine,0.3,3.5,39,11.5,2,4.3,8.1,2.9,8.4,1.7,0.9,5.8,9.8,0.6,4.9,1.7,2.6,0.9,5.7
