Code,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
ALB,0.41323384770353305,0.036327172697700916,0.004646095900544046,0.02139521414024047,0.19378333587501614,0.1503400482883639,0.010590700023398864,0.10135904458308698,0.060421915805407546,0.0014888725103559585,0.0057938051162112775,0.0006199473561408236
AUT,0.08668189663265388,0.24793936776743702,0.00012190721870449647,0.0013377393766466157,0.13451060975854115,0.04128193038783502,0.19778107965253308,0.014288841720243375,0.10373907440084021,0.14422087856567672,0.027514761385145088,0.0005819131337433741
BLR,0.13110928721782886,0.446466238873869,0.05534719479110513,0.2629412574501351,0.05196491596694693,0.029652393128563402,0.0044823276333132035,0.012563275615561914,0.00028712804871876144,0.004941333964555571,0.00010131404646365356,0.00014333326293866318
BEL,0.027842795354842992,0.8834471536196884,0.00031524942813941425,0.02287528475202756,0.021333501861949596,0.04272669116633901,1.7278662641364722e-05,0.0011122117268606766,6.619411572416548e-05,2.8009348896728178e-05,7.381274873245137e-05,0.00016181721415759026
BIH,0.004350120570488903,0.4015627525604901,0.39667574628383284,0.0029285818267716732,0.02437678638012527,0.10744626190654531,0.0012053917687408924,0.01660774519147626,0.03889543272465699,0.0033597956510393445,0.0025886437925064774,2.7413433259369106e-06
BGR,0.6589564904446927,0.0716093634813014,0.0700275115112937,0.004199390044754687,0.010771640961807057,0.09029048981430361,0.003507874929427175,0.004107016184877408,0.02222470046729635,0.01774005049372507,0.04632676163924047,0.0002387100272803071
HRV,0.0042849649777408055,0.5043920756009985,0.33005312374791546,0.03760206741745496,0.004452624246375811,0.014365252794144363,0.005804775501983951,0.038328545888470955,0.0536798591059061,0.0006778895173983462,0.006257931733781851,0.00010088946782887547
CZE,0.1155802310690718,0.010678239473090653,0.19552235311676244,0.017885158899025005,0.4644314675796321,0.0035420312567678003,0.15767537114219426,0.014037219453927084,0.002594215202385152,0.004808883803002705,0.012839370576417363,0.0004054584277236775
CYP,0.8660312004424491,1.528755302012332e-05,0.05726693383069909,0.04393774326000188,0.007078579864770812,0.007202739509425736,0.001093459052993254,0.0012720641743143978,0.002401342525434744,0.0033923980787855085,0.010290390788107865,1.786091999746948e-05
DNK,0.44772498363218316,0.28620178417682496,0.04700348518152879,0.08051641113548015,0.011124656254321326,0.0831224244887953,0.03131636434399911,4.094563186620739e-05,0.011174039791882947,0.000712943670589398,0.0007993011979954326,0.00026266049453321327
GBR,0.21329274686247712,0.5875239120631175,0.0006697145451976708,0.03709236849461036,0.061126238842043365,0.04975718561417391,0.019500299297016785,0.01325111899649211,2.2036899781578954e-05,0.0019330151870029385,0.015478489320795194,0.0003528738772914997
EST,0.1325486633367695,0.1810751642815535,0.3978246221811951,0.09967125521130496,0.00028966431325458674,0.034333172476180285,0.00016347260221006714,0.045073653583389,0.021322662765037623,0.07830757747719422,0.009345761152272786,4.43306196385027e-05
FIN,0.3006550266779239,0.041902447540721866,0.2604576885194717,0.13003155906804018,0.18677211473562966,0.02899602017992963,0.003329029741994879,0.03832049466136152,0.005567247883196971,0.00356162791414849,0.0004057288405640232,1.014237017088671e-06
FRA,0.023839935063754755,0.8102866213418694,7.262581869374096e-06,0.023377042478178466,0.0196938666567575,0.04804296024878841,0.02137226348559625,0.008766919585611786,0.00047579878764117167,0.03277205271091223,0.01133748147839666,2.7795580623905293e-05
DEU,0.12647126086789365,0.7383539811615069,3.3363655276912205e-05,0.005897919011615337,0.02346003779507066,0.010257831346749067,0.0513125272057679,0.010194640147307872,0.031148249285810458,0.0006280748623414372,0.001868838668241969,0.000373275992417666
GRC,0.827982745447748,3.606785250025212e-05,0.05089476947553614,0.017845792953573077,0.001814713593840923,0.01345760687480744,0.0008982628056514343,0.051068174928676616,0.01517144601271038,0.020648796619969687,6.446796127915937e-06,0.0001751766388581487
HUN,0.01858736243667677,0.05928233816490121,0.007732819914427027,0.3372336839313718,0.027377271497773272,0.15712597798489197,0.10367349201166726,0.23335349996691515,0.005148317747401975,0.045628482191170154,0.0043786937456375035,0.00047806040716601834
ISL,0.6948044618765248,0.1409491510994734,0.008667810810461928,0.015977271090059197,0.007168199427147114,0.0027198316278730303,0.1127821900719595,0.013291928433443368,7.090274614530404e-05,0.0030647405950377004,0.0003193038877950947,0.00018420833407970205
IRL,0.13120936962275137,0.48286932330763827,0.004441864160579702,0.19782493269179194,0.10526999375041649,0.05118634665154982,0.004303302058690426,0.0031323799045064405,0.007771381441511361,0.0005029300838771843,0.011441429959267412,4.674636741955899e-05
ITA,0.6410307035772564,0.21436274840348168,0.05307624408382962,7.288845917681532e-06,0.003270183484792279,0.005326486390632784,0.04761523805906777,0.00586768201281567,0.010234828525891084,0.010425310493898192,0.008586413125648921,0.00019687299676783226
LVA,0.38545021122404105,0.23209240653596278,0.3007403478556149,0.00015151842274146814,0.0026558513145441567,0.007611875016526964,0.030407506694547757,0.0001823476948177833,0.0360178875493206,0.00021580501073835068,0.004435596612184276,3.864606895994214e-05
LTU,0.34884324804914846,0.31117476047183573,0.2502249691713224,0.0005093968191954567,0.011950515978938639,0.003987812737758673,0.03817209191500187,0.007678329131554567,0.01922457430172374,0.0018714897548763416,0.006329448304083991,3.336336456014e-05
MKD,0.6452624184675669,0.13242130847304578,0.09061372832939629,0.006444852681897716,0.06496405963631821,0.04791642100365788,0.0019562247848170233,0.007551990287880565,0.00020447919546431556,0.0024093665705445877,0.00023839727362246082,1.6753295788378576e-05
MLT,0.6598381831223397,0.010052666380725155,0.0346703285984424,0.0727412745932455,0.033108512407317006,0.07138516396454651,0.0580032788653658,0.04482442715111023,0.015044438543754913,0.00011617536660889502,0.00018429601635961426,3.1254990184160986e-05
MDA,0.05716044043612295,0.10917655215434373,0.0011892092656288252,0.24048618101113167,9.403948755755313e-06,0.042496829030396976,0.23357631662117553,0.09780066432554392,0.07421194955541772,0.1361294800020795,0.0071902119182415715,0.000572761731161787
MNE,0.03930572659378095,0.15027693775937076,0.5919227527835147,0.0390904132103814,0.09833963255159509,0.0008738757776124681,0.020816910224973492,0.011986696365732833,0.04135916196738281,0.0013911609290180734,0.004602904179158307,3.382765747924726e-05
