,F1,F2
BoliInfectioase,-0.13999338362518485,-0.04815297480241369
Tuberculoza,-0.10590440764603526,0.17904353677776255
Tumori,0.10236731343636231,0.22148973419661858
BoliEndocrine,0.9760848096382051,0.029814818720481202
Diabet,0.9791705651499896,0.03713465492218432
TulbMentale,0.11751332678939203,0.07931777539360976
SistNervORL,0.18286727811453538,-0.14070258160569113
ApCirculator,0.05072469776531007,0.8392835690123237
BoalaIschemica,-0.05457761417575967,0.027359543913267524
BoliCerebroVasculare,0.029992537642769036,0.9545862920866133
BRespiratorii,0.17536002072899418,0.09908241103276205
BDigestive,0.12961580355740993,0.2872386599661989
BGenitoUrinar,-0.00672134592363957,-0.03368644167486105
SarcinaNastere,0.02688163677008748,0.09627307807252107
MalfCongenitale,0.06647969910336482,-0.1263358389449968
Accidente,0.05461123145744343,0.1587817656000148
AlteCauze,-0.12269459357114378,-0.23490955431770177
