Indicativ,Partitie O,Scor_Silh_Opt,Partitie 3,Scor_Silh_3
ab,C2,0.44921777464525914,C3,0.3817241784212356
ar,C2,0.47480602979714875,C3,0.36710417498582504
ag,C2,0.46950209280202887,C3,0.15322558402416903
bc,C2,0.3331394712200622,C3,0.3177415900214332
bh,C2,0.5025308157208571,C3,0.2011425625586422
bn,C2,0.41714074483296343,C3,0.1556132660688735
bt,C2,0.24124607964262895,C3,0.4216979057622073
br,C2,-0.15828884021008413,C3,0.0719100823792106
bv,C2,0.5524505723722497,C1,0.4937036183518001
bz,C1,0.4475724618329208,C2,0.33494697517158595
cl,C2,-0.13885673846467553,C3,0.02520097079414064
cs,C2,-0.046942788972194394,C3,0.16706470363523862
cj,C2,0.5606021778967278,C1,0.4162702923551455
ct,C2,0.4883129000670787,C1,0.33666453172542543
cv,C2,0.5433064837749213,C3,0.11529247539790706
db,C2,0.3928979827713867,C3,0.32046130071843476
dj,C1,0.5115658570109151,C2,0.40683126490669264
gl,C2,0.4509520384857191,C3,0.36001989429960823
gr,C1,0.6355023036975316,C2,0.5598277885519684
gj,C2,0.17868763679747668,C3,0.29832295623530447
hr,C2,0.5744370178637358,C1,0.09479664584791349
hd,C2,-0.14638074475233684,C3,0.10485297127563008
il,C1,0.37372765309799977,C2,0.20087719626031472
is,C2,0.45841042439771473,C1,0.5047083941975081
if,C2,0.4614990830867882,C1,0.49482194308220034
mm,C2,0.5680387806325689,C1,0.21859653749102215
mh,C1,0.5338739345542929,C2,0.42423118160951523
b,C2,0.560878538115655,C1,0.18260427133566753
ms,C2,0.5288321843640503,C3,0.001950515287899525
nt,C2,0.13371375039250397,C3,0.3068180836522478
ot,C1,0.6188088941468498,C2,0.5563457870015274
ph,C2,0.4206119163144557,C3,0.4488118602595038
sj,C2,-0.0016255360210165573,C3,0.23122751696562144
sm,C2,0.5466977895747018,C3,0.09344819280431695
sb,C2,0.545391303511204,C1,0.4599055534337372
sv,C2,0.38792003025590827,C3,0.36291707091577513
tr,C1,0.5042116699709833,C2,0.44303365377538995
tm,C2,0.48166670451902655,C1,0.5321121430945579
tl,C2,0.12102666279649546,C3,0.2835567448998656
vl,C2,0.41169844282508383,C1,0.3550598590976681
vs,C2,0.26843853350138597,C3,0.4072758064399842
vn,C2,0.2994198137683966,C3,0.2794851095530207
