Denumire studiu,Domeniu,Corporatie,Parteneri,Perioada,Valoare investitie
Valori Europene 2008 - 2009,,RBS Romania,2,2008,Peste 100000E
Coloreaza un zambet,Social,Praktiker,0,2008,Peste 100000E
Impreuna mai aproape de oameni 2008,Social,Tuborg,10,2008,Peste 100000E
Cupa Vodafone la Tenis de Camp in Scaun Rulant,Sport,Voodafone,3,2008,Pana la 100000E
Educatie pentru dezvoltare durabila 2007 - 2008,Educatie,RBS Romania,1,2007,Pana la 100000E
Cartea Dunarii albastre,Educatie,Coca Cola,6,2007,
Speranta pentru semeni 2008,Social,Impact,0,2008,Pana la 100000E
Tine-ti viata in propriile maini!,Social,Germanos,3,2008,Pana la 100000E
Padurea noastra,Mediu,UnicreditTiriacBank,1,2008,Pana la 100000E
"Iconarul, 2002 - 2008",Cultura,Newarch Investments,11,2008,Neprecizat
De la Teorie la Practica 2008,Educatie,Integrator Soft,5,2008,Neprecizat
Noua ne pasa,Social,Novo Nordisk,2,2008,Pana la 100000E
"Orange-Adept Work Camp, 2008",Mediu,Orange,1,2008,Neprecizat
"Politia Verde a Copiilor, 2007",Mediu,Henkel,2,2007,Pana la 100000E
"3, 2, 1...Actiune!",Educatie,Cardinal Motors,1,2008,Neprecizat
"""Pot ajuta?"" 2008",Social,MOL Romania,1,2008,Pana la 100000E
"10 pentru Pavel, 2008",Sport,BRD,4,2008,Neprecizat
"Festivalul SoNoRo, 2007",Cultura,BRD,2,2007,Neprecizat
Gradina Verde de la Gradi,Mediu,Terapia Ranbaxy,4,2007,Pana la 100000E
Campania V-Days 2007- Zidul Indiferentei,DrepturileOmului,A&D Pharma,3,2007,Neprecizat
Siguranta online - internetsigur.ro,Educatie,Romtelecom,3,2008,Neprecizat
Campanie nationala de pregatire pentru dezastre,Social,Petrom,1,2007,Neprecizat
Daruieste din inima,Social,LaborMed Pharma,5,2007,Neprecizat
"Cupa SIVECO, 2008",Educatie,Siveco,3,2008,Neprecizat
10 case intr-o saptamana,Social,Voodafone,1,2008,Peste 100000E
"Usi deschise catre viitor, 2008",Educatie,Vel Pitar,1,2007,Neprecizat
YouthBank Cluj – editia 2007,Educatie,BRD,4,2006,Neprecizat
"""Verde003"", 2007-2008",Mediu,Coca Cola,6,2007,Neprecizat
"Maratonul DHL Stafeta Carpatilor, 2007",Sport,DHL,1,2007,Neprecizat
Telefonul Copilului 2007,DrepturileOmului,Romtelecom,12,2007,Neprecizat
Premiile Orange pentru tinerii muzicieni 2007,Cultura,Orange,1,2007,Pana la 100000E
"""Gandeste. Recicleaza!"", 2007",Educatie,Alexandrion Group,6,2007,Neprecizat
"""Mic dejun cu cereale"" 2006-2007",Educatie,Nestle,10,2006,Neprecizat
Clujul Are Suflet,Social,Banca Transilvania,5,2007,Peste 100000E
Fii mai bun,Educatie,Romstal,1,2006,Neprecizat
Mentorship,Educatie,Cosmote,18,2007,Neprecizat
Bancile si sistemul bancar 2007,Educatie,City Bank,1,2007,Pana la 100000E
Impreuna pentru natura 2007,Mediu,Carpatcement Holding,1,2007,Neprecizat
Cluburi de miscare si distractie 2006 - 2007,Sport,Nestle,2,2006,Neprecizat
Pune capac mizeriei din Delta,Mediu,Ursus,2,2007,Pana la 100000E
Calificare profesionala pentru tineri defavorizati,Social,Alianz Tiriac,2,2005,Neprecizat
Asistenta pentru familii si copii in dificultate,Social,Western Union Romania,1,2006,Pana la 100000E
Bursele Vodafone pentru Liceu 2005-2007,Educatie,Voodafone,6,2005,Peste 100000E
1 din 8 femei - editia 2006,Social,Avon,2,2006,Peste 100000E
Euro2007 Habitat Build,Social,BRD,5,2007,Pana la 100000E
Bursele Europene JTI 2007,Educatie,JT International,1,2007,Neprecizat
Parcurile Viitorului,Mediu,Petrom,1,2007,Peste 100000E
SOS Masina cu Jucarii,Educatie,Voodafone,4,2006,Pana la 100000E
Conferintele Civice,Educatie,Siveco,5,2006,Neprecizat
Banii si Bugetul,Educatie,City Bank,1,2007,Pana la 100000E
Performanta pentru viitor,Educatie,Ozone Laboratories,1,2007,Pana la 100000E
Activism Impotriva Violentei asupra Femeii,DrepturileOmului,A&D Pharma,4,2006,Pana la 100000E
Tu si Umbrela Verde - Mereu Aproape,Mediu,Tuborg,5,2007,Neprecizat
"Milioane de Oameni, Milioane de Copaci",Mediu,Ursus,7,2006,Neprecizat
Vodafone si Salvamar - Parteneriat pentru viata,Social,Voodafone,2,2007,Pana la 100000E
Programul national de reciclare a telefoanelor,Mediu,Voodafone,1,2007,Neprecizat
REMIX!,Cultura,Carpatcement Holding,2,2006,Neprecizat
Prin sport in societate,Sport,BRD,7,2006,Pana la 100000E
Salvati oamenii de zapada,Mediu,Apa Nova,0,2007,Neprecizat
Orange - Adept,Mediu,Orange,1,2005,Peste 100000E
Spatii Verzi,Mediu,MOL Romania,1,2007,Peste 100000E
Believe In U,Educatie,Arctic,2,2007,Neprecizat
Bucurestiul Respira,Mediu,Carpatcement Holding,5,2006,Pana la 100000E
Apa Nova ti-a iesit cu plin,Mediu,Apa Nova,0,2007,Neprecizat
Traieste cu masura,Educatie,Ursus,1,2006,Neprecizat
Sanatate si Speranta,Social,A&D Pharma,3,2005,Peste 100000E
"Impreuna, mai aproape de oameni",Social,Tuborg,12,2006,Pana la 100000E
De la teorie la practica 2004-2006,Educatie,Integrator Soft,5,2004,Pana la 100000E
Dedeman pentru comunitate,Social,Dedeman,1,2006,Neprecizat
Patrimoniul cultural - descopera-i valoarea!,Cultura,BRD,5,2005,Pana la 100000E
Drumul catre ceilalti,Social,BGS,2,2005,Neprecizat
Pot ajuta? MOL promoveaza tinerele talente,Sport,MOL Romania,0,2006,Pana la 100000E
Cluburi de miscare si distractie,Sport,Nestle,2,2005,Neprecizat
Orizont pentru spital,Social,Teraplast SA,0,2006,Pana la 100000E
Un parteneriat pentru viata,Social,Voodafone,7,2005,Peste 100000E
Ziua Copilului si a Parintelui in Gradina Botanica,Social,BRD,2,2006,Neprecizat
Scoala de vara 4Success Team,Educatie,Ozone Laboratories,1,2006,Neprecizat
Doneaza pentru viata,Social,BRD,2,2006,Neprecizat
Centrul Marin Pazon,Social,Zentiva,1,2006,Pana la 100000E
Sa invatam sa invatam,Educatie,Siveco,1,2006,Neprecizat
2 % pentru Fundatia UPC,Social,UPC,0,2005,Pana la 100000E
Litoral curat,Mediu,Voodafone,1,2005,Pana la 100000E
"Tu alegi, Banca Transilvania se implica",Social,Banca Transilvania,4,2006,Peste 100000E
Donatie pentru comunitatile afectate de inundatii,Social,Western Union Romania,1,2005,Pana la 100000E
Speranta pentru semeni,Social,Impact,0,2005,Neprecizat
Acces la comunicare,Social,Orange,2,2005,Neprecizat
Tu pentru comunitate,Social,Orange,1,2004,Neprecizat
Impreuna pentru o Delta curata!,Mediu,Henkel,2,2004,Neprecizat
"De Craciun, Coca-Cola alaturi de tine",Social,Coca Cola,1,2005,Pana la 100000E
Bucurestiul respira 2006,Mediu,Carpatcement Holding,3,2005,Neprecizat
Studentul anului,Educatie,Carpatcement Holding,1,2005,Neprecizat
Intalnirile JTI,Cultura,JT International,6,2006,Neprecizat
Impreuna pentru natura,Mediu,Carpatcement Holding,8,2004,Neprecizat
Premiile profesionale Carpatcement,Educatie,Carpatcement Holding,1,2005,Pana la 100000E
Casa Blu,DrepturileOmului,A&D Pharma,4,2002,Neprecizat
Scoala Orange,Educatie,Orange,1,2006,Neprecizat
Integrarea tinerilor cu deficiente senzoriale,DrepturileOmului,Orange,1,2005,Neprecizat
