County,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another
ab,0.4829965297855312,0.6322913225759645,0.39150277207911643,0.7437569716535285,0.5127873178225126,0.8054394670527881,0.8196868008948547,0.49999999999999994,0.49999999999999994,0.9381994891903483,0.819676613514622,0.8196715199194646,0.8196791603359402,0.6776377649163104,0.8197122704533448,0.9381878289616773,0.819676613514622,0.7453719526972863,0.49999999999999994,0.8196817071730851,0.49999999999999994,0.7536136866439633
ag,0.5987607996820881,0.5155304570005994,0.6277110098654887,0.6991863008901904,0.6550562332558172,0.6057663048559698,0.7266378812089893,0.5,0.7447437085135857,0.5,0.5,0.5,0.7499515531878003,0.5722562462276919,0.7499209584258317,0.5,0.7499082113450776,0.7499120354238022,0.7499464538874477,0.7499120354238022,0.7499107607265606,0.5467865388604208
ar,0.31849861851455413,0.4189994787515139,0.43897252533840975,0.6644209544933602,0.32120354960923564,0.5966403381911226,0.6095769007329765,0.5,0.5425107883794574,0.8319573559543462,0.6094881241431148,0.6152707118949091,0.6388167880432902,0.5558079865252886,0.5923080536962535,0.6175588430925045,0.6388499524109716,0.6388388972391423,0.6388152088735733,0.638827842449922,0.5,0.49260731407867653
b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bc,0.5588175010839386,0.804596236056299,0.6077071796837449,0.7106791994311238,0.5820469135418876,0.7049797451356394,0.7106877857575584,0.7723729901761119,0.772370324090534,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.7106877857575586,0.5708165238200898,0.7724196496533298,0.5000000000000001,0.7723796554705824,0.5000000000000001,0.7543184093341158,0.866193579197494,0.5000000000000001,0.5367923321183836
bh,0.41369329368513985,0.44308162594794936,0.4831036115132941,0.6302767112211916,0.5000567020433053,0.6349862813243095,0.6619012692077648,0.5,0.6677757027807603,0.7943574001404646,0.6677793670594345,0.5,0.6678001320648765,0.6232112867758707,0.5712037384470863,0.5,0.6549678722131682,0.6383990547384709,0.6641005240198634,0.667756160640308,0.5,0.5682301547315719
bn,0.43711853835183945,0.5142109238985297,0.4837559006437929,0.6647777793974025,0.5705512465154537,0.7461366642496149,0.7135579880190647,0.5,0.5,0.5,0.5,0.5,0.9747456713111408,0.7461638529455705,0.7461230706446488,0.5,0.7461149147194177,0.7461149147194177,0.5,0.5,0.5,0.6809965963835661
br,0.31683822316175464,0.4158792291418444,0.46776064001190937,0.44855467293266577,0.44855467293266577,0.41600023773517625,0.44671447831669386,0.44852358826790567,0.5000000000000001,0.5000000000000001,0.44853098898778004,0.5000000000000001,0.4383811769056534,0.44856355505684725,0.44855023200248173,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.4485280286705234,0.44851914795320674,0.44856503544507664,0.43875543761675606
bt,0.5075224704280187,0.690882528551647,0.5021864345934831,0.9400996630021302,0.6832640118706124,0.6908790178537401,0.7382996619897595,0.5,0.5,0.5,0.5,0.5,0.7474656368302042,0.7474637377379058,0.6909474828991635,0.5,0.5,0.5,0.7474827290951545,0.5,0.5,0.6650133653152283
bv,0.3785169683786399,0.3591001827125602,0.5839781797365253,0.5203977666381382,0.2772351791918207,0.4442719290754815,0.4828276202047177,0.5374730505688732,0.537478265594436,0.5374688786212866,0.523897312098178,0.5,0.5375356375556275,0.3926682239739524,0.5375366807955656,0.5374678356445096,0.5374751365669542,0.537478265594436,0.5374709645869838,0.44937326675606604,0.5374730505688732,0.327755832475479
