County,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another
ab,5.168952372922464,3.9656946441425385,4.688790192675263,1.5709505944546684,3.2377362702597554,0.6962122601251458,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.3389641931642113,-0.0,-0.0,-0.0,0.9852281360342515,-0.0,-0.0,-0.0,0.7871265862012691
ag,5.403329631707393,2.5232009885742315,5.165132754587547,0.9709505944546686,0.8206481173749147,1.8646757899347857,0.8189555018403103,-0.0,0.6962122601251458,-0.0,-0.0,-0.0,-0.0,1.876920176375278,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.0070325368031035
ar,4.699192839106184,3.6203688911216556,4.9568438624088405,3.5246671371751486,3.5019576069643086,1.2974288158134883,0.7642045065086203,-0.0,1.9533829176788773,1.7869250050260062,1.2383925979643995,0.9852281360342515,-0.0,0.6879294895946875,0.5196143413970309,1.4092016649609853,-0.0,-0.0,-0.0,-0.0,-0.0,2.6449798960031643
b,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
bc,5.50101282692138,2.4878805236996455,4.4913032776486155,0.9852281360342515,2.297058208841678,0.7345299214394703,0.8112781244591328,-0.0,-0.0,-0.0,-0.0,-0.0,0.8112781244591328,2.6973474690403676,-0.0,-0.0,-0.0,-0.0,0.6631968402398287,3.1728478042855395,-0.0,3.011867675905815
bh,4.968350901672342,4.327235663357592,5.822303712186649,2.042131855494515,2.32087866890294,0.7469500388278212,0.5746356978376794,-0.0,-0.0,3.702636729890092,-0.0,-0.0,-0.0,0.738345761648356,1.030662608867394,-0.0,0.9910760598382222,1.5306189948485172,1.0,-0.0,-0.0,1.3345507061345518
bn,5.042230714447381,3.725999630987983,4.623304281172036,2.089631927866992,2.3335665352733814,-0.0,0.9967916319816366,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.2664334315008259
br,3.3338346188079178,0.5699613760403499,4.005140756633869,-0.0,-0.0,0.924521289460941,0.0473423424731476,-0.0,-0.0,-0.0,-0.0,-0.0,0.12394986771100759,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2974722489192896
bt,5.329530834331391,0.6722948170756379,3.413087256645669,1.323751236137707,1.2994705707972523,0.9182958340544896,0.08013604733127525,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.898653375690748,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.4213988886492546
bv,3.64133842419791,3.3561603888815954,4.946812800188466,0.7324196551586492,3.662411254481854,0.6545405504764314,0.3372900666170139,-0.0,-0.0,-0.0,0.6722948170756379,-0.0,-0.0,1.6062994078499215,-0.0,-0.0,-0.0,-0.0,-0.0,1.3119635955536793,-0.0,1.90316590192894
