Judet,Carne,Peste,LegumeFructe,Uleiuri,Lactate,Morarit,Panificatie
ab,3.188,4.892,0.132,0.018,5.355,0.513,0.857
ag,1.269,0.0,3.039,0.031,1.704,0.488,1.193
ar,1.208,0.081,1.192,0.0,0.336,0.204,1.07
b,0.629,3.211,3.345,1.374,0.479,0.608,0.989
bc,1.473,4.679,0.0,0.063,0.131,1.957,0.851
bh,0.351,0.155,0.334,0.368,0.174,0.55,1.129
bn,1.11,0.0,0.291,0.0,3.608,0.341,0.796
br,0.776,0.0,1.134,0.038,0.542,0.44,1.115
bt,0.742,0.0,0.011,0.206,1.424,0.34,0.618
bv,1.464,0.0,0.2,0.011,0.665,0.313,0.878
bz,1.052,0.0,1.012,4.24,0.437,2.33,0.903
cj,0.828,0.319,1.908,0.074,2.051,0.357,1.511
cl,2.093,0.303,0.143,3.293,0.01,0.695,0.551
cs,1.281,0.0,0.046,0.0,0.299,0.0,0.892
ct,0.425,0.0,0.197,2.219,1.103,2.045,0.885
cv,0.806,0.0,0.463,0.0,5.292,0.931,1.267
db,1.031,0.0,0.124,0.0,0.608,0.385,0.696
dj,0.029,0.0,0.022,0.172,1.515,0.495,0.886
gj,0.823,0.0,0.303,0.0,0.079,0.026,1.017
gl,0.334,0.0,0.008,6.255,0.516,0.276,0.958
gr,0.101,0.0,0.018,0.363,0.534,1.266,0.698
hd,0.308,6.173,0.236,0.0,0.103,0.239,1.247
hr,0.555,0.0,0.878,0.0,2.776,0.11,1.506
if,2.182,10.523,8.785,2.503,0.062,6.419,2.616
il,0.788,0.0,0.0,12.314,0.098,1.088,0.27
is,0.501,0.0,0.203,0.058,0.103,0.309,0.627
mh,0.109,0.0,0.0,0.0,0.073,0.486,0.631
mm,1.815,0.0,0.038,0.178,0.813,0.35,1.106
ms,1.062,2.128,0.271,0.0,2.56,0.12,1.247
nt,0.176,0.0,0.647,0.07,0.835,0.794,1.034
ot,0.731,0.0,0.998,0.089,0.007,1.824,0.625
ph,1.789,0.0,1.21,0.108,0.24,1.178,1.053
sb,2.346,0.0,0.294,0.0,0.45,1.877,1.536
sj,0.185,0.0,0.469,0.0,0.208,2.175,0.629
sm,4.853,0.0,0.969,5.058,0.309,1.675,1.026
sv,0.602,0.077,0.081,0.0,4.496,0.421,0.624
tl,1.088,0.0,2.604,0.0,0.671,1.546,0.707
tm,1.699,1.293,0.129,0.586,1.564,0.667,1.173
tr,0.191,0.049,0.039,1.514,0.755,1.039,0.744
vl,0.721,0.0,3.794,0.0,0.096,5.722,3.035
vn,0.438,0.0,0.593,0.0,0.259,0.836,0.48
vs,0.784,0.719,0.409,4.192,0.588,2.685,0.263
