Siruta,Localitate,Total_angajati
57350,Cojocna,1.0
73736,Poiana Mare,2.0
147465,Bunesti,9.0
114710,Oras Ludus,322.0
122908,Grumazesti,44.0
131103,Oras Breaza,44.0
172082,Pausesti-Maglasi,59.0
49206,Sapoca,1.0
106559,Municipiul Sighetu Marmatiei,167.0
139330,Vama,10.0
98373,Oras Podu Iloaiei,74.0
147526,Cacica,109.0
16454,Domnesti,2.0
65609,Oras Fieni,28.0
41033,Halchiu,15.0
16472,Dragoslavele,275.0
139358,Vetis,2832.0
90208,Luncoiu De Jos,10.0
155760,Becicherecu Mic,35.0
32884,Cetate,292.0
114809,Municipiul Reghin,482.0
16506,Draganu,4.0
73852,Radovan,17.0
106620,Sarasau,27.0
41088,Harman,16.0
98435,Popesti,2.0
131210,Oras Busteni,21.0
65681,Oras Gaesti,125.0
155797,Belint,11.0
41113,Harseni,1.0
16551,Godeni,17.0
114854,Oras Sovata,32.0
131256,Municipiul Campina,484.0
106684,Oras Baia Sprie,1081.0
24766,Racaciuni,2.0
73923,Robanesti,13.0
155840,Bethausen,1.0
98505,Popricani,15.0
57546,Dabaca,2.0
147660,Ilisesti,56.0
41177,Hoghiz,11.0
82136,Stanesti,2.0
123102,Ion Creanga,4.0
8425,Vidra,11.0
114925,Municipiul Tarnaveni,70.0
57582,Feleacu,17.0
106746,Oras Borsa,211.0
155911,Biled,2.0
131336,Oras Comarnic,86.0
73996,Sadova,3.0
49439,Scutelnici,10.0
106782,Oras Cavnic,32.0
164133,Grivita,5.0
65841,Municipiul Moreni,33.0
172340,Pietrari,90.0
106817,Oras Targu Lapus,62.0
82243,Stejari,13.0
41284,Jibert,2.0
147786,Cornu Luncii,9.0
131407,Oras Mizil,774.0
57706,Floresti,213.0
131443,Oras Plopeni,74.0
98685,Raducaneni,22.0
65921,Oras Pucioasa,97.0
49545,Smeeni,8.0
57742,Frata,18.0
41382,Maierus,33.0
24999,Rosiori,1.0
90538,Pui,8.0
172457,Prundeni,19.0
33202,Dumitra,5.0
139704,Municipiul Zalau,246.0
156106,Boldur,16.0
41417,Mandra,19.0
115147,Alunis,15.0
131540,Oras Sinaia,114.0
98774,Ruginoasa,9.0
66009,Branesti,3.0
49625,Stalpu,9.0
33248,Feldru,43.0
106979,Oras Viseu De Sus,49.0
147937,Darmanesti,37.0
123371,Pastraveni,35.0
25068,Sascut,1.0
107001,Ardusat,29.0
33275,Galatii Bistritei,19.0
131577,Oras Slanic,2.0
41471,Moieciu,1.0
16908,Leresti,7.0
66081,Oras Titu,34.0
139811,Oras Jibou,18.0
