,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
I1,-0.681360897396494,0.3381082006096893,-0.0752813532126119,0.4839741189384147,-0.04723596245211503,0.2996905303685623,0.23699003800119745,-0.002555229965644113,0.16663151107661825,0.026011861977307222,0.06818021838203604,0.014975485187650428
I2a,0.2701166253571784,-0.6434017701272777,-0.5983736658201321,-0.17646036339247692,0.1432343476371691,-0.09883085899397952,0.07003169360139065,0.186374168683965,0.21337991642915247,-0.079764411876777,-0.04124588923630902,0.01907636487914802
I2b,-0.3108709014491275,0.8388798065718982,-0.24960042313730643,-0.07444488973888495,-0.10651680045092739,0.1746714802099914,-0.08035066115489961,0.07610576219077787,-0.08716488629118997,-0.2442619064301074,-0.10206216282455391,0.0038714261416737104
R1a,-0.413143609687426,-0.636808125392993,0.1507080160311303,-0.2843046064783569,-0.5460766053122621,0.08898375809936114,-0.005523820210399133,-0.08840781457377361,-0.07065368197286646,-0.01709847069363586,0.01947969674724633,0.024855028525972368
R1b,-0.05778346044604928,0.8966039258689462,0.016609527238150616,-0.23149374253235672,0.13636680625789882,-0.3223215973938817,0.05083083354086089,-0.0648222929872412,-0.031840213908145745,0.08022450227345784,0.033100917027514457,0.03284783998459556
G,0.7216418418461102,0.4331919920563876,-0.05384240432615976,0.0643182609357722,-0.2871678313863529,0.0788705056856723,-0.3674302699426049,0.17380560265922793,0.13661474189538367,0.08501903314858,0.06883774060894438,0.003483942142792162
J2,0.9272749556964903,0.011153288691526386,0.06062665861196559,0.19295301550626817,-0.03008971091343789,0.16287512733841217,0.038889280085073016,-0.13169323676038486,0.00043156806545789823,0.11988321470642843,-0.19562957918723994,0.01407183596341371
J1,0.8464788700260274,0.04354724413059671,0.18407450168265366,0.08589222438854796,-0.12716380598170904,-0.005895936863214072,0.3003940026829021,0.30702160464143347,-0.19449242874024217,-0.010619933781286279,0.040796112297804506,0.002763141480896865
E1b1b,0.7710618222621666,-0.19513558436156575,-0.37263840723532304,0.010890782686118794,0.2709513892421959,0.2706654479930235,-0.08854023848450317,-0.1765142232098799,-0.15147113878179033,-0.0685977226441521,0.12220189169920431,0.012419243323236021
T,0.7698694345270114,0.025220065038882373,0.38604945633371157,0.26480097782744083,-0.14834180963445714,-0.25445009466428686,0.04890461150745953,-0.1767905242622788,0.14289436100939756,-0.21370230274138186,0.032038959509084024,0.0007748025396799694
Q,-0.2587067230907077,-0.16237421605648608,-0.6742838666105375,0.5374385695413371,-0.19981850996099712,-0.30453845621322284,-0.07525635640643938,-0.027008237295909447,-0.15226897929537994,0.028707562716208376,-0.011492426215542825,0.0006182358448060677
N,-0.440610041247095,-0.41508563746113536,0.5935698073919644,0.33547544090677006,0.2844955815865482,-0.01993525712268035,-0.2364919326295596,0.15131424869390056,-0.06992348374488133,-0.05043261489533086,-0.02532386213319466,0.021545086070135888
